Name,Type,Color,Power Supply,Side Panel,External volume,"Internal 3.5"" bays",Rating,Price
Montech XR,ATX Mid Tower,Black,None,Tempered Glass,45,2,81,69.9
Phanteks XT PRO,ATX Mid Tower,Black,None,Tempered Glass,51.8,2,15,52.98
Lian Li Vector V100R,ATX Mid Tower,Black,None,Tempered Glass,53.2,1,19,74.99
Corsair 3500X ARGB,ATX Mid Tower,White,None,Tempered Glass,55.9,2,11,119.99
NZXT H5 Flow ,ATX Mid Tower,Black,None,Tempered Glass,45,1,17,84.99
Lian Li O11 VISION COMPACT,ATX Mid Tower,Black,None,Tempered Glass,57.4,2,30,114.99
Lian Li O11 VISION COMPACT,ATX Mid Tower,White,None,Tempered Glass,57.4,2,31,124.99
HYTE Y70 Touch Infinite,ATX Mid Tower,White,None,Tempered Glass,70.7,2,6,379.99
Fractal Design North,ATX Mid Tower,Black,None,Tempered Glass,45.1,2,79,154.99
Cooler Master MasterBox Q300L,MicroATX Mini Tower,Black,None,Acrylic,33.6,1,185,39.99
Lian Li O11 Dynamic Mini V2,ATX Mid Tower,Black,None,Tempered Glass,45.4,2,16,89.99
Corsair FRAME 4000D RS ARGB,ATX Mid Tower,Black,None,Tempered Glass,56.7,2,21,89.99
Phanteks Eclipse G370A,ATX Mid Tower,Black,None,Tempered Glass,48.7,0,3,46.98
Lian Li A3-mATX,MicroATX Mini Tower,Black,None,Mesh,26.3,1,28,67.99
HYTE Y70 Touch Infinite,ATX Mid Tower,Black,None,Tempered Glass,70.7,2,9,379.99
Fractal Design North XL,ATX Full Tower,Black,None,Tinted Tempered Glass,61.4,2,22,194.99
Lian Li O11 Dynamic Mini V2,ATX Mid Tower,White,None,Tempered Glass,45.4,2,5,89.99
Lian Li O11D EVO RGB,ATX Mid Tower,Black,None,Tempered Glass,65.3,4,27,149.99
Phanteks XT PRO ULTRA,ATX Mid Tower,Black,None,Tempered Glass,51.8,2,25,69.99
NZXT H3 Flow,MicroATX Mid Tower,Black,None,Tinted Tempered Glass,35,1,16,59.99
Lian Li A3-mATX,MicroATX Mini Tower,Black / Brown,None,Mesh,26.3,1,41,89.99
NZXT H9 Flow ,ATX Mid Tower,Black,None,Tinted Tempered Glass,76.7,2,5,119.99
Lian Li VECTOR V100R MINI,MicroATX Mid Tower,Black,None,Tempered Glass,42.9,1,3,64.98
Corsair 4000D Airflow,ATX Mid Tower,Black,None,Tinted Tempered Glass,48.6,2,377,
Lian Li Lancool 207,ATX Mid Tower,Blue,None,Tempered Glass,45.5,2,32,72.99
MUSETEX Y6,ATX Mid Tower,White,None,Tempered Glass,40.9,2,4,69.98
Lian Li LANCOOL 217,ATX Mid Tower,Black / Brown,None,Tempered Glass,57.7,1,16,119.99
Fractal Design Terra,Mini ITX Desktop,Black / Brown,None,Mesh,11.4,0,26,199.99
Lian Li O11 Dynamic EVO XL,ATX Full Tower,Black,None,Tempered Glass,84.4,4,19,234.99
NZXT H6 Flow,ATX Mid Tower,Black,None,Tempered Glass,51.8,1,39,89.99
Corsair 9000D RGB AIRFLOW,ATX Full Tower,Black,None,Tempered Glass,149.6,5,1,519.99
HYTE Y70,ATX Mid Tower,White,None,Tempered Glass,70.7,2,8,193.99
Lian Li O11 Dynamic Mini V2 Flow,ATX Mid Tower,Black,None,Tempered Glass,45.4,2,9,89.99
Thermaltake Level 20,ATX Full Tower,Black / Silver,None,Tempered Glass,141,8,0,999.99
Zalman T6 Mini,MicroATX Mini Tower,Black,None,None,18.6,2,0,29.99
Lian Li Vector V100R,ATX Mid Tower,White,None,Tempered Glass,53.2,1,0,79.98
NZXT H5 Flow ,ATX Mid Tower,White,None,Tempered Glass,45,1,6,69.98
Fractal Design Pop XL Air,ATX Full Tower,Black,None,Tempered Glass,62.4,3,13,119.99
Montech AIR 903 MAX,ATX Mid Tower,Black,None,Tempered Glass,54.2,2,65,79.97
HYTE Y70,ATX Mid Tower,Black,None,Tempered Glass,70.7,2,4,199.99
NZXT H3 Flow,MicroATX Mid Tower,White,None,Tempered Glass,35,1,1,49.99
Corsair 3500X,ATX Mid Tower,Black,None,Tempered Glass,55.9,2,11,69.69
Cooler Master MasterBox NR200,Mini ITX Desktop,Black,None,None,20.3,2,50,83.99
Lian Li LANCOOL 216 RGB,ATX Mid Tower,Black,None,Tempered Glass,55.6,2,59,92.99
Jonsbo D32 PRO,MicroATX Desktop,Black,None,Tempered Glass,25.7,2,12,69.98
Corsair FRAME 4000D,ATX Mid Tower,Black,None,Tempered Glass,56.7,2,17,102.3
