Title,Loose Price ▼,CIB Price,New Price
PlayStation 2 System [Yellow Automotive Edition],"$2,000.00","$2,600.00","$6,800.00"
PlayStation 2 System [Blue Automotive Edition],"$1,999.99","$2,800.00","$6,720.00"
Playstation 2 Development Tool,"$1,822.69","$3,860.71","$9,266.00"
PlayStation 2 Automobile Super Red Console,"$1,805.12","$5,075.59","$12,181.00"
Sony Bravia [KDL-22PX300],"$1,536.84","$1,997.89","$5,225.26"
PlayStation 2 System [White Automotive Edition],"$1,500.00","$3,868.26","$9,284.00"
PlayStation 2 Console [Astral Blue],"$1,498.18","$1,947.63","$5,093.81"
PlayStation 2 Debugging Station,"$1,204.19","$1,877.54","$4,506.00"
Sony PlayStation 2 Combo Pack,$823.76,$899.95,"$1,400.00"
Playstation 2 Test Debug Unit,$599.00,$712.50,"$1,710.00"
Sony Playstation 2 GT3 Racing Pack,$542.35,$799.95,"$1,920.00"
Playstation 2 System Online Pack,$421.94,$616.86,"$1,247.00"
Slim Playstation 2 Bundle [LEGO Batman & Justice League],$256.64,$399.99,$699.00
Linux,$202.50,$385.00,$598.38
Slim Playstation 2 System [Toy Story 3 Bundle],$184.52,$231.24,$649.99
Playstation 2 Slim System [ATV Offroad Fury 4 Bundle],$169.23,$220.00,$528.00
Ceramic White PlayStation 2 SingStar Bundle,$147.72,$250.17,$350.16
PlayStation 2 Online Pack,$113.24,$221.30,$871.84
White Slim Playstation 2 System,$112.90,$199.99,$651.20
Playstation 2 System,$108.49,$199.53,"$2,000.00"
PlayStation 2 System [Silver Automotive Edition],$105.89,"$1,899.99","$4,560.00"
Slim Playstation 2 System,$99.51,$147.50,$759.61
Slim Playstation 2 System [Silver],$81.50,$171.59,$989.23
Playstation 2 Nickelodeon KCA Console,,,
PlayStation 2 System [Red Automotive Edition],,,
Playstation 2 Gran Turismo 3 Console Bundle,,,
