System Name,Company,Release,GEN
,,,
APF-MP1000,APF,"January 1, 1978",2
APF Imagination Machine,,1979,2
Game Brain,Atari Inc.,Cancelled (1972),2
Atari 2000,,Cancelled,2
Atari 2500,,Cancelled,2
Atari 2600,,"September 11, 1977",2
Atari 2600 Jr.,,1986,2
Atari 2700,,Cancelled (1981),2
Atari 5200,,November 1982,2
Atari Cosmos,,Cancelled (1978-1981),2
Bandai Super Vision 8000,Bandai,1979,2
Digi Casse,,1984,2
ColecoVision,Coleco,August 1982,2
Columbia Home Arcade,Columbia,1980,2
Arcadia 2001/Leisure Vision,Emerson Radio,1982,2
Select-A-Game,Entex Industries,1981,2
Adventure Vision,,1982,2
Epoch Cassette Vision,Epoch,"July 30, 1981",2
Cassette Vision Jr.,,1983,2
Game Pocket Computer,,1984,2
Fairchild Channel F,Fairchild,November 1976,2
Compact Vision TV Boy,Gakken,October 1983,2
Vectrex,GCE/Milton Bradley Company,November 1982,2
Interton VC 4000,Interton,1978,2
Magnavox Odyssey²,Magnavox/Philips,December 1978,2
Intellivision,Mattel,1980,2
Children's Discovery System,,1981,2
Intellivision II,,1983,2
Bally Astrocade,Midway,1977,2
Microvision,Milton Bradley,"November, 1979",2
"Portable Videogame System/
Super Micro",Palmtex,1984,2
RCA Studio II,RCA,January 1977,2
Colorvision,Romtec,1984,2
Video Arcade System,Ultravision,Cancelled (supposed to be released in 1983),2
Champion 2711,Unisonic,1978,2
Database,Voltmace,1978,2
VTech CreatiVision,VTech,1981,2
3D Gamate,,1983,2
Variety,,1983,2
ProScreen,,1984,2
Amstrad GX4000,Amstrad,September 1990,3
Atari 7800,Atari Corporation,May 1986,3
Atari XEGS,,1987,3
Terebikko,Bandai,1988,3
Bridge Companion,BBC/Heber,1985,3
PV-1000,Casio,October 1983,3
Commodore 64 Games System,Commodore,December 1990,3
Videosmarts,"Connor Electronics  (1986–1988), VTech  (1989–1990)",1986,3
Zemmix,Daewoo Electronics,1985,3
Control-Vision,Digital Pictures & Hasbro,Cancelled (supposed to be released in 1989),3
Epoch Super Cassette Vision,Epoch,"July 17, 1984",3
Projector Mega Video Game,Fantastiko,1988,3
Savie Projection System,Funsation,1989,3
Video Art,LJN,1985,3
My Vision,Nichibutsu,1983,3
Family Computer (Famicom),Nintendo,"July 15, 1983",3
NES,,"October 18, 1985",3
Family Computer Disk System,,"February 21, 1986",3
"NES-101 ""Top Loader""",,"October 15, 1993",3
AV Famicom,,"December 1, 1993",3
M82,,1985,3
Twin Famicom AN-500,Nintendo/Sharp,"July 1, 1986",3
Twin Famicom AN-505,,1987,3
My Computer TV C1,,1983,3
Videopac+ G7400,Philips,1983,3
RDI Halcyon,RDI Video Systems,Cancelled (supposed to be released in January 1985),3
Sega SG-1000,Sega,"July 15, 1983",3
Sega SG-1000 II,,"July 31, 1984",3
Video Driver,,October 1988,3
Sega Mark III/Sega Master System,"Sega , Tec Toy","October 20, 1985",3
Sega Master System II,,199x,3
Кроха,SKB Kontur (СКБ Контур),Cancelled (supposed to be released in 1990),3
Dendy/Micro Genius,Steepler,1992,3
Dendy Jr.,,1992,3
Master System Super Compact,Tec Toy,1994,3
BattleVision,Tiger Electronics,1994,3
Pyuuta Jr.,Tomy,April 1983,3
Video Challenger,Tomy/Bandai,1987,3
View-Master Interactive Vision,"View-Master Ideal Group, Inc.",1988,3
VTech Socrates,VTech,1988,3
Action Max,Worlds of Wonder,1987,3
CSD-GM1,Aiwa,1994,4
Lynx,Atari,NA: October 1989,4
Lynx II,,,4
Atari Panther,,Cancelled (supposed to be released in 1991),4
Genesis Firecore,AtGames,2009,4
Gamate,Bit Corporation,1990,4
Series A,Commodoor,199x,4
Commodore CDTV,Commodore,March 1991,4
IM-26,Electronika,1988,4
