Edition,Model,Color,Special Features,Loose Price,CIB Price,New Price
Nintendo Switch Animal Crossing Edition,V2,Green/Blue,Isabelle/Leaf backplate,$189.99,$249.99,$399.99
Nintendo Switch Fortnite Edition,V2,Blue/Red,Fleet Force skin bundle,$150.00,$195.00,$295.00
Nintendo Switch Mario Red Edition,V2,Red,Mario themed dock,$199.99,$260.00,$350.00
Nintendo Switch Monster Hunter Rise Edition,V2,Black/Gold,Rathalos design,$220.00,$285.00,$450.00
Nintendo Switch OLED Splatoon 3 Edition,OLED,Multi-color,Splatoon themed dock and controllers,$299.99,$349.99,$425.00
Nintendo Switch OLED Zelda Tears of the Kingdom Edition,OLED,Gold/Green,Hylian design dock,$320.00,$385.00,$499.99
Nintendo Switch OLED Mario Kart 8 Bundle,OLED,Standard,Game pre-installed,$280.00,$325.00,$399.99
Nintendo Switch OLED Pokemon Scarlet/Violet Edition,OLED,Red/Purple,Koraidon/Miraidon design,$299.99,$360.00,$450.00
Nintendo Switch Lite Pokemon Edition,Lite,Gray/Blue,Zacian/Zamazenta backplate,$120.00,$165.00,$250.00
Nintendo Switch Lite Animal Crossing Edition,Lite,Coral,Special carrying case,$140.00,$180.00,$275.00
