Model,SKU,Storage,Region,Release Date
Nintendo Switch,V1 (HAC-001),32GB,International,March 3 2017
Nintendo Switch,V2 (HAC-001),32GB,International,August 2019
Nintendo Switch OLED (White),HEG-001,64GB,International,October 8 2021
Nintendo Switch OLED (Neon),HEG-001,64GB,International,October 8 2021
Nintendo Switch Lite (Gray),HDH-001,32GB,International,September 20 2019
Nintendo Switch Lite (Yellow),HDH-001,32GB,International,September 20 2019
Nintendo Switch Lite (Turquoise),HDH-001,32GB,International,September 20 2019
Nintendo Switch Lite (Coral),HDH-001,32GB,International,April 3 2020
Nintendo Switch Lite (Blue),HDH-001,32GB,International,May 21 2021
Nintendo Switch Lite (Zacian/Zamazenta),HDH-001,32GB,Limited Edition,November 8 2019
