Title,Loose Price ▼,CIB Price,New Price
Xbox 360 Simpsons Console,"$3,286.78","$7,950.00","$14,310.00"
Xbox 360 XNA Development Kit,$925.00,"$1,292.14","$2,484.88"
Xbox 360 XDK Development Kit,$794.19,$958.81,"$1,726.00"
Xbox 360 Slim Console 4GB White Skylanders Bundle,$409.21,$699.95,$700.00
Xbox 360 Console Star Wars Kinect Bundle,$249.97,$333.18,$923.91
Xbox 360 System Halo Edition,$245.32,$585.00,"$2,300.00"
Xbox 360 Slim Console 4GB White Kinect Bundle,$240.00,$333.33,$599.99
Xbox 360 Gears Of War 3 Limited Edition,$228.94,$331.14,$828.37
Halo 4 Limited Edition Console,$223.53,$427.50,"$1,238.61"
Xbox 360 E Console 500GB Blue Call of Duty Edition,$208.59,$274.00,$493.00
Xbox 360 System Elite 250GB,$200.00,$277.78,$500.00
Xbox 360 Elite Resident Evil 5 Version,$190.76,$600.00,"$2,450.00"
Xbox 360 Console Halo Reach Edition,$176.78,$372.61,"$1,163.31"
Xbox 360 Console Call Of Duty: Modern Warfare 3 Limited Edition,$172.49,$307.64,$900.00
Xbox 360 Elite 120Gb Forza 3 And Halo 3 ODST Bundle,$171.06,$222.38,$400.00
Xbox 360 E 4GB Peggle 2 Bundle,$160.09,$215.00,$387.00
Xbox 360 E 250GB Halo 4 & Tomb Raider Bundle,$157.51,$255.00,$170.00
Xbox 360 Console LEGO Batman The Video Game & Pure Bundle,$143.56,$162.09,$500.00
Xbox 360 Console Modern Warfare 2 Limited Edition,$141.64,$173.44,$774.98
Xbox 360 Elite Console Halo 3 & Fable 2 Bundle,$124.70,$162.11,$292.00
Xbox 360 Arcade [Banjo-Tooie: Nuts & Bolts & Viva Pinata Bundle],$122.31,$159.00,$286.00
Xbox 360 250GB Kinect Special Edition Kinect Adventures,$112.50,$178.41,$600.00
Xbox 360 E 500GB Console,$108.36,$175.72,$542.95
Xbox 360 Slim Console 250GB Holiday Bundle,$103.78,$165.74,$624.74
Xbox 360 Slim 4GB Console Kinect Disneyland Adventures Bundle,$99.99,$135.00,$408.62
Xbox 360 Slim Console 4GB White,$99.99,$129.99,$249.98
Xbox 360 System 20GB,$98.85,$146.11,$263.00
Xbox 360 Console Final Fantasy XIII Edition,$97.38,$200.01,$584.92
Xbox 360 Slim Console 250GB,$89.00,$106.73,$402.31
Xbox 360 Console Kung Fu Panda & Indiana Jones Bundle,$88.46,$115.00,$207.00
Xbox 360 E Console 250GB,$84.00,$91.06,$164.00
Xbox 360 Arcade System,$82.37,$107.35,$700.00
Xbox 360 Slim Console 250GB Kinect Bundle,$80.04,$107.31,$553.16
Xbox 360 Slim Console 4GB Kinect Bundle [Refurbished],$80.00,$113.75,$350.00
Xbox 360 E Console 4GB,$79.99,$99.00,$719.09
Xbox 360 Slim Matte Black Console,$79.75,$100.10,$141.60
Xbox 360 System Elite 120GB [Halo 3 Bundle],$78.53,$103.04,$185.00
Xbox 360 Slim Console 4GB Kinect Bundle,$76.40,$91.89,$419.66
XBOX 360 Console 20GB With HDMI,$75.00,"$1,099.99","$1,402.75"
Xbox 360 Console 60GB,$65.00,$84.50,$107.50
Xbox 360 System Elite 120GB,$61.11,$135.75,$356.72
Xbox 360 Slim Console 4GB,$59.95,$100.58,$299.99
Xbox 360 System Core,$51.54,$61.01,$191.70
Xbox 360 Kinect Developer Kit,$32.00,$44.44,$79.99
Xbox 360 250GB Value Bundle Halo Reach Fable 3,,,
Xbox 360 60GB Media Remote Bundle,,,
Xbox 360 Slim [Taco Bell Edition],,,
Xbox 360 System [Jasper],,,
Xbox 360 Console M&M's Edition,,,
Xbox 360 Elite Lego Indiana Jones & Kung Fu Panda Bundle,,,
Xbox 360 250GB Kinect Special Edition Kinect Adventure and Sports,,,
Xbox 360 Go Pro [Refurbished],,,
Xbox 360 Slim 250GB Forza 4 Skyrim Bundle,,,
