Model,Storage,HDMI,Appearance,Headset,Other accessories/bundled items,,MSRP,First available
Xbox 360 Core,None,,"Matte white
Matte white disc tray",,"Wired controller
Composite A/V Cable[b]",,"US$299.99, £199.99, ¥27,800",WW: 2005-11-22
Xbox 360 Arcade,512 MB[19] onboard,,"Matte white
Matte white disc tray",,"Wireless controller
Component HD A/V Cable[b][49]
Xbox Live Arcade compilation disc[e] (not included with all units)",,"US$199.99, C$149.99, £159.99,€179.99, ¥19,800, A$299.00[20][50]",WW: 2009-06
,256 MB[18] onboard,,,,,,,WW: 2008-12
,256 MB memory unit,,,,,,,WW: 2007-10-23
Xbox 360 Pro,60 GB HDD,,"Matte white
Chrome disc tray",[f],"Wireless controller
Ethernet cable
Component HD A/V Cable[c][h]",,"US$399.99, C$299.99, £169.99,€239.99, ¥29,800, A$399.00[50]",WW: 2008-09-01
,20 GB HDD,,,[f],,,,WW: 2007-09
,,,,[f],,,,WW: 2005-11-22
Xbox 360 Elite,250 GB HDD[a],,"Matte black with Modern Warfare 2 branding
Matte black disc tray",,"2 wireless controllers
Ethernet cable
Component HD A/V Cable[b][g][51]",Call of Duty: Modern Warfare 2,"US$399.99, C$399.99, £249.99,€329.99, A$599.00",WW: 2009-11-10
,,,"Matte black
Chrome disc tray",,,Forza Motorsport 3,,WW: 2009-10-27
,,,,,,Halo 3 and Halo 3: ODST,C$399.99,CAN: 2010-01-09
,,,"Matte white
Chrome disc tray",,,"Final Fantasy XIII
Additional faceplate with FFXIII based artwork","US$399.99, C$399.99, £249.99,€329.99, A$599.00",WW: 2010-03-09
,,,"Matte black
Chrome disc tray",,,Tom Clancy's Splinter Cell: Conviction,,WW: 2010-04-13
,120 GB HDD,,"Matte black
Chrome disc tray",,"Wireless controller
Ethernet cable
Component HD A/V Cable[b][g][51]
HDMI cable",,"US$299.99, C$299.99, £199.99,€299.99 ¥29,800, A$549.00[52][53][50]","NA: 2007-04-29
EU: 2007-08-24
AU: 2007-08-30"
Xbox 360 S[3][27],320 GB HDD[a][54][55],,Metallic red with black Gears of War 3 branding[54],,"1 or 2 wireless controllers with ""transforming D-pad""[i]
Composite A/V Cable[b]
For details of bundle specifics, see Xbox 360 S special editions below",,US$399.99[54],WW: 2011-09-20[54]
,,,Matte blue and white R2-D2 artwork; blue ring of light[55],,,,"US$449.99,[55] £349.99[56]",WW: 2012-04-03[55]
,,,Matte grey and dark grey with white Modern Warfare 3 branding[57],,,,US$399[57],WW: 2011-11-08[57]
,,,Translucent dark grey with blue and white Halo 4 artwork; blue ring of light,,,,US$399.99,WW: 2012-11-06
,250 GB HDD,,Matte black,,"Wireless controller[58]
Composite A/V Cable[b]",,"US$299.99, C$299.99, £199.99,€249.99,[59] A$449.00,[38] NZ$499.00[38]",WW: 2011-08
,,,Glossy black,,,,,"NA: 2010-06-18
AU: 2010-07-01[38]
NZ: 2010-07-08[38]
EU: 2010-07-16[60]"
,4 GB onboard[39][41][42],,Matte black,,"Wireless controller
Composite A/V Cable[b]",,"US$199.99,[42] £149.99,[42] C$199.99","NA: 2010-08-03[39]
EU: 2010-08-20[40]"
,,,Glossy white[61],,"Wireless controller (glossy white)[61]
Composite A/V Cable[b]
Kinect sensor (white)[61]
Kinect Adventures and Kinect Sports[61]
3-month Xbox Live subscription[61]",,US$299.99[61],WW: 2012-02-28[61]
Xbox 360 E,250 GB HDD,,Two-tone black,,"Wireless controller
Composite A/V Cable",,"US$299.99, C$299.99, £199.99,
€249.99, A$449.00, NZ$499.00","NA: 2013-06-10
EU: 2013-06-20"
