Edition,Serial Number,Revision,Color,Features,
2001 Launch Team Edition,2NNNNNN 14402,1,Translucent green,"Given to Xbox Launch Team; says ""Great work!"" and has Bill Gates' signature on the jewel, as well as ""Special Edition"" on the front. Estimated 1000-2000 made. ^[2]",
Crystal Limited Edition (CAN),"4NNNNNN 43505
4NNNNNN 43705
4NNNNNN 43805",1.6,Translucent,"Released in Canada as a bundle with Fable and Crimson Skies. 100,000-150,000 consoles made, covering all available regions. ^[2]",
Crystal Limited Edition (JAP),3NNNNNN 42806,1.6,Translucent,Released in Japan.,
Crystal Limited Edition (PAL),"4NNNNNN 40605
4NNNNNN 40805",1.4,Translucent,Released as a second anniversary for the European release of the console.,
,"2NNNNNN 43705
4NNNNNN 44005",1.6,Translucent,Further UK releases.,
Crystal Limited Edition - Jewel Variant (PAL),"3NNNNNN 43705
5NNNNNN 43705",1.6,Translucent,"""Limited Edition"" written on jewel. Found in Australian / New Zealand crystal packs. Likely due to the jewel being sourced by multiple different suppliers, one of which may have added this text. ^[2]",
EA Special Edition,"1823293 43406
6NNNNNN 43405",1.6^?,White,"Given to Electronic Arts for helping support Xbox Live. EA logo and ""Special Edition"" printed on front in blue and a black jewel with ""Xbox Live"" logo. Comes with two controllers, one with a red EA Sports jewel, and the other with a blue EA Games jewel. Reportedly, 110 made. ^[2] ^3",
Ed Fries Special Edition,N/A,?,White,"Says ""Ed Fries - Special Edition"" under Xbox logo on white jewel, and ""Thanks for all you have done with MGS and Xbox"" in red lettering on bottom right of the top. No stickers on bottom. Given to Ed Fries, the vice president of game publishing at Xbox at the time. One made.",
Dead or Alive Ultimate / Kasumi-chan Blue (JP),"4NNNNNN 15102
4NNNNNN 15202
5NNNNNN 20802",1,Translucent Blue,"Says ""Dead or Alive Ultimate"" on the bottom-left side of top and has a silver jewel. 5000 ^1 or 6000 ^1 made. They have a September 2004 manufacture date, but are actually 1.0 consoles with 2001 hardware and serial numbers.",
Dead or Alive Online (JP),2396697 34706,1.2,Translucent Blue,"Says ""Dead or Alive Online"" on the top, silver jewel. This was the original version that was meant to be sold before the game was renamed to ""Dead or Alive Ultimate"". One known to exist, previously owned by the international manager for the original Xbox launch, Stan Kaplita.",
Halo Special Edition,"2NNNNNN 3WW05
5NNNNNN 3WW05
6NNNNNN 3WW05
1NNNNNN 40505
3NNNNNN 40606
6NNNNNN 40705
6NNNNNN 41505
5NNNNNN 41605","1.2, 1.4, 1.6",Translucent green,"Released as a Halo bundle, says ""Halo"" on the front. 200,000 made, covering all regions.",
Halo Special Edition (Hong Kong),"5NNNNNN 40505
6NNNNNN 40505",1.4,Translucent green,"First released on April 22nd, 2004; this NTSC console was made to commemorate the release of Xbox Live by Microsoft Hong Kong and Hong Kong Broadband Network Limited (HKBN). Four digit serial number on top indicates less than 10,000 units produced. ^3",
Halo 2 Special Edition (NTSC-J),"5NNNNNN 40505
5NNNNNN 40605",1.4,Translucent green,Released in Southeast Asia; has a Halo 2 decal sticker on the top of the console near the disc drive. Number produced is unknown. ^3,
