Title,Loose Price ▼,CIB Price,New Price
Xbox System [Launch Edition],"$3,000.00","$6,999.99","$16,800.00"
Xbox XDK Development Kit,"$1,714.19","$2,550.00","$2,599.00"
Xbox System [Partner Edition],"$1,650.00","$2,310.00","$6,270.00"
Xbox XDK Development Kit [Transparent Green],"$1,237.73","$1,733.14","$4,704.25"
Xbox System [Canada Blue Halo 2 Edition],$800.00,"$1,005.54","$2,102.08"
Mountain Dew Limited Edition Xbox System,$749.95,"$1,000.00","$2,344.38"
Xbox System [Translucent Green Edition],$553.50,$937.60,"$2,250.00"
Xbox System [Green Halo Edition],$400.00,$848.97,"$2,351.29"
Xbox System [Crystal],$260.77,$384.58,"$1,263.35"
Xbox Holiday Pack,$235.17,$476.00,"$1,142.00"
Xbox System [Orange Halo Edition],$233.47,$326.86,$784.00
Xbox System [Star Wars Tetris World Bundle],$213.29,$267.49,$878.14
Xbox System [Sega GT 2002 & JSRF Bundle],$164.28,$229.99,$552.00
Xbox System [Top Spin NCAA Bundle],$133.58,$250.00,$550.00
Xbox System,$96.76,$237.50,$985.00
Xbox System [Tony Hawk Underground 2 Edition],,,
Xbox System [Refurbished],,,
