Title,Loose Price ▼,CIB Price,New Price
Xbox Series S Top Gun: Maverick Special Edition,"$3,913.04","$4,500.00","$5,850.00"
Xbox One S XDK Development Kit,$799.99,$987.83,"$1,284.00"
Xbox One XDK Development Kit,$635.00,"$1,982.31","$2,577.00"
Xbox One 500 GB Black Console With Kinect [Refurbished],$369.56,$424.99,$552.00
Xbox One X [Taco Bell Eclipse Edition],$364.99,$598.00,$925.00
Xbox One X 1TB [Fallout 76 Bundle],$356.43,$383.85,$499.00
Xbox One X [Cyberpunk 2077 Edition],$323.36,$369.98,$599.99
Xbox One 1 TB Elite Console,$318.07,$321.55,$499.12
Xbox One X [Taco Bell Limited Edition],$275.00,$499.00,$549.98
Xbox One S 1TB Console [Star Wars Jedi: Fallen Order Deluxe Bundle],$249.99,$252.74,$399.99
Xbox One Console - Gears of War 4 Limited Edition,$247.39,$258.32,$659.88
Xbox One Special Edition [Halo The Master Chief Collection 500GB Bundle],$238.40,$238.40,$310.00
Xbox One S 1 TB Console [Minecraft Limited Edition],$221.64,$399.99,$632.97
Xbox One X 1TB NBA 2K20 Edition Console,$219.02,$225.71,$275.00
Xbox One S 1TB White Console [Minecraft Bundle],$214.61,$234.85,$315.00
Xbox One S 1 TB Console [Anthem Legion of Dawn Bundle],$212.08,$228.39,$296.91
Xbox One X [Gears of War 5 Limited Edition],$205.84,$398.52,$634.39
Xbox One Console - Quantum Break Limited Edition,$205.28,$221.07,$287.45
Xbox One S 1 TB Console - Fortnite Battle Royale Special Edition Bundle,$204.13,$271.52,"$2,661.82"
Xbox One X - Gold Rush Limited Edition,$200.98,$252.51,$328.00
Xbox One Sunset Overdrive Bundle,$188.80,$209.99,$273.00
Xbox One X 1TB [Battlefield V Deluxe Edition],$183.03,$212.12,$276.00
Xbox One Console - Halo 5 Guardians Limited Edition,$174.68,$219.96,$612.84
Xbox One X 1 TB White Console,$164.89,$181.91,$528.14
Xbox One 500GB Minecraft Bundle,$162.76,$169.00,$250.00
Xbox One X 1TB Console Gold Rush [Special Edition],$159.99,$183.99,$223.99
Xbox One X 1TB Console [Project Scorpio Edition],$154.17,$177.05,$489.99
Xbox One X 1 TB Black Console,$144.35,$192.46,$331.74
Xbox One S 1 TB Console,$143.00,$225.00,$522.82
Xbox One 2 TB White Console,$140.62,$186.23,$242.00
Xbox One 1 TB Black Console,$136.89,$184.89,$240.00
Xbox One Console - Deep Blue,$134.50,$160.22,$300.00
Xbox One S All Digital,$131.31,$152.01,$162.11
Xbox One - Assassin's Creed Unity Bundle - Game Console - 500 GB HDD - With Kinect,$130.43,$150.00,$195.00
Xbox One Console - Call of Duty Advanced Warfare Limited Edition,$129.64,$200.30,$730.00
Xbox One S 500GB Forza Horizon 3 Hot Wheels Bundle,$124.94,$150.00,$195.00
Xbox One S 1 TB Battlefield 1 Special Edition Military Green,$124.04,$170.63,$217.78
Xbox One 500 GB Black Console,$114.47,$127.50,$129.99
Xbox One 500 GB [Gears of War Ultimate Edition Bundle],$107.50,$214.70,$339.99
Xbox One 1 TB - Forza 6 Limited Edition,$107.33,$122.07,$450.00
Xbox One S [Storm Gray],$107.05,$160.00,$208.00
Xbox One Console - Titanfall Limited Edition,$105.22,$137.37,$331.25
Xbox One S 500 GB White Console,$105.00,$111.93,$371.19
Xbox One 500 GB White Console,$99.95,$149.79,$299.99
500GB Xbox One Console - Master Chief Collection Bundle,$98.10,$135.00,$176.00
Xbox One 1TB Console - 3 Games Holiday Bundle,$94.93,$249.99,$350.00
Xbox One with Kinect [Day One Edition],$89.99,$357.23,$793.74
Xbox One 500 GB Black Console with Kinect,$75.00,$175.00,$388.91
Xbox One 1 TB White Console,,,
Xbox One S 500GB Gears of War Halo 5 Bundle,,,
Xbox One 500GB Console with Kinect and Forza Motorsport 5,,,
Xbox One Forza Horizon 5: Hot Wheels Console Bundle,,,
Xbox One Interactive Store Kiosk,,,
Xbox One S 500GB [Special Blue Edition],,,
Xbox One S [PUBG Bundle],,,
Xbox One 500 GB Black Console [Refurbished],,,
Xbox One 500 GB Black Console [Assassin's Creed Bundle],,,
