Brand,Model,Interface,Form Factor,Capacities,Controller,Configuration,DRAM,HMB,NAND Brand,NAND Type,Layers,"R (Up to, in MB/s)","W (Up to, in MB/s)",Categories,Notes (*)
Acer,SA100,SATA/AHCI,"2.5""",120GB,Maxio MAS0902A,"Dual-core, 4-Ch, 8-CE/ch",No,N/A,,TLC,,560,500,Entry-Level SATA,
Acer,SA100,SATA/AHCI,"2.5""",1GB,Maxio MAS0902A,"Dual-core, 4-Ch, 8-CE/ch",No,N/A,,TLC,,560,500,Entry-Level SATA,
Acer,FA100,x4 PCIe 3.0/NVMe,M.2,128GB,Innogrit IG5216,"Dual-core, 4x4",No,Yes,Micron,TLC,176,3300,2700,Entry-Level NVMe,
Acer,FA100,x4 PCIe 3.0/NVMe,M.2,256GB,Innogrit IG5216,"Dual-core, 4x4",No,Yes,Micron,TLC,176,3300,2700,Entry-Level NVMe,
Acer,FA100,x4 PCIe 3.0/NVMe,M.2,512GB,Innogrit IG5216,"Dual-core, 4x4",No,Yes,Micron,TLC,176,3300,2700,Entry-Level NVMe,
Acer,FA100,x4 PCIe 3.0/NVMe,M.2,1TB,Innogrit IG5216,"Dual-core, 4x4",No,Yes,Micron,TLC,176,3300,2700,Entry-Level NVMe,
Acer,FA100,x4 PCIe 3.0/NVMe,M.2,2TB,Innogrit IG5216,"Dual-core, 4x4",No,Yes,Micron,TLC,176,3300,2700,Entry-Level NVMe,
Acer,FA200,x4 PCIe 4.0/NVMe,M.2,500GB,Maxio MAP1602,"R5, 4x8",No,Yes,YMTC,QLC,232,7200,6200,,
Acer,FA200,x4 PCIe 4.0/NVMe,M.2,1000GB,Maxio MAP1602,"R5, 4x8",No,Yes,YMTC,QLC,232,7200,6200,,
Acer,FA200,x4 PCIe 4.0/NVMe,M.2,2000GB,Maxio MAP1602,"R5, 4x8",No,Yes,YMTC,QLC,232,7200,6200,,
Acer,FA200,x4 PCIe 4.0/NVMe,M.2,4000GB,Maxio MAP1602,"R5, 4x8",No,Yes,YMTC,QLC,232,7200,6200,,
Acer,FA200,x4 PCIe 4.0/NVMe,M.2,4TB,Maxio MAP1602,"R5, 4x8",No,Yes,YMTC,QLC,232,7200,6200,,
Acer,GM3500,x4 PCIe 3.0/NVMe,M.2,512GB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,96+,3400,3000,Mid-Range NVMe,
Acer,GM3500,x4 PCIe 3.0/NVMe,M.2,1TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,96+,3400,3000,Mid-Range NVMe,
Acer,GM7,x4 PCIe 4.0/NVMe,M.2,512GB,Maxio MAP1602,"R5, 4x8",No,Yes,YMTC,TLC,,7400,7300,,128L -> 232L YMTC TLC
Acer,GM7,x4 PCIe 4.0/NVMe,M.2,1TB,Maxio MAP1602,"R5, 4x8",No,Yes,YMTC,TLC,,7400,7300,,128L -> 232L YMTC TLC
Acer,GM7,x4 PCIe 4.0/NVMe,M.2,2TB,Maxio MAP1602,"R5, 4x8",No,Yes,YMTC,TLC,,7400,7300,,128L -> 232L YMTC TLC
Acer,GM7000 (Predator),x4 PCIe 4.0/NVMe,M.2,512GB,InnoGrit IG5236,"Quad-core, 8-ch",Yes,No,Micron,TLC,176,7400,6400,High-End NVMe,
Acer,GM7000 (Predator),x4 PCIe 4.0/NVMe,M.2,1TB,InnoGrit IG5236,"Quad-core, 8-ch",Yes,No,Micron,TLC,176,7400,6400,High-End NVMe,
Acer,GM7000 (Predator),x4 PCIe 4.0/NVMe,M.2,2TB,InnoGrit IG5236,"Quad-core, 8-ch",Yes,No,Micron,TLC,176,7400,6400,High-End NVMe,
Acer,GM9000,x4 PCIe 5.0/NVMe,M.2,1TB,SMI SM2508,,Yes,N/A,Micron,TLC,232,14000,13000,High-End NVMe,
