Producer,CPU Name,Processor Number,Brand Modifier,"Intel® Core™ 
Gen",# of Cores,# of P-cores,# of E-cores,# of Threads,Max Turbo Frequency (GHz),Performance-core Base Frequency (GHz),Efficient-core Base Frequency (GHz),Processor Base Frequency (GHz),Cache (MB),"Processor Base Power (previously Thermal Design Power (TDP)) 
(W)",Max Memory Size (dependent on memory type) GB,Memory Types (MT/s),Max # of PCI Express Lanes,Supported Socket,Processor Graphics,Graphics Max Dynamic Frequency (GHz),Intel® Optane™ Memory Supported,Intel® Turbo Boost Technology 2.0,Intel® Turbo Boost Max Technology 3.0,Intel® vPro™ Platform Eligibility,"Max Resolution for HDMI,
 Max Resolution for DP, 
Max Resolution for (eDP - Integrated Flat Panel)",Price
Intel,Intel Core i9-14900KS,i9-14900KS,i9,14th,24,8,16,32,6.20,3.20,2.40,N/A,36,150,192,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,20,LGA1700,UHD 770,1.65,No,Yes,Yes,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",689.99
Intel,Intel Core i9-14900F,i9-14900F,i9,14th,24,8,16,32,5.80,2.00,1.50,N/A,36,65,192,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,20,LGA1700,No,N/A,No,Yes,Yes,No,N/A,
Intel,Intel Core i9-14900,i9-14900,i9,14th,24,8,16,32,5.80,2.00,1.50,N/A,36,65,192,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,20,LGA1700,UHD 770,1.65,No,Yes,Yes,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",
Intel,Intel Core i9-14900T,i9-14900T,i9,14th,24,8,16,32,5.50,1.10,0.80,N/A,36,35,192,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,20,LGA1700,UHD 770,1.65,No,Yes,Yes,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",
Intel,Intel Core i7-14700F,i7-14700F,i7,14th,20,8,12,28,5.40,2.10,1.50,N/A,33,65,192,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,20,LGA1700,No,N/A,No,Yes,Yes,No,N/A,329.97
Intel,Intel Core i7-14700T,i7-14700T,i7,14th,20,8,12,28,5.20,1.30,0.90,N/A,33,35,192,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,20,LGA1700,UHD 770,1.60,No,Yes,Yes,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",
Intel,Intel Core i7-14700,i7-14700,i7,14th,20,8,12,28,5.40,2.10,1.50,N/A,33,65,192,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,20,LGA1700,UHD 770,1.60,No,Yes,Yes,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",480.09
Intel,Intel Core i5-14600,i5-14600,i5,14th,14,6,8,20,5.20,2.70,2.00,N/A,24,65,192,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,20,LGA1700,UHD 770,1.55,No,Yes,No,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",
Intel,Intel Core i5-14400T,i5-14400T,i5,14th,10,6,4,16,4.50,1.50,1.10,N/A,20,35,192,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,20,LGA1700,UHD 730,1.55,No,Yes,No,No,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",
Intel,Intel Core i5-14400,i5-14400,i5,14th,10,6,4,16,4.70,2.50,1.80,N/A,20,65,192,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,20,LGA1700,UHD 730,1.55,No,Yes,No,No,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",261.72
Intel,Intel Core i5-14500,i5-14500,i5,14th,14,6,8,20,5.00,2.60,1.90,N/A,24,65,192,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,20,LGA1700,UHD 770,1.55,No,Yes,No,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",478.95
Intel,Intel Core i5-14600T,i5-14600T,i5,14th,14,6,8,20,5.10,1.80,1.30,N/A,24,35,192,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,20,LGA1700,UHD 770,1.55,No,Yes,No,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",
Intel,Intel Core i5-14500T,i5-14500T,i5,14th,14,6,8,20,4.80,1.70,1.20,N/A,24,35,192,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,20,LGA1700,UHD 770,1.55,No,Yes,No,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",0
Intel,Intel Core i5-14400F,i5-14400F,i5,14th,10,6,4,16,4.70,2.50,1.80,N/A,20,65,192,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,20,LGA1700,No,N/A,No,Yes,No,No,N/A,234.99
Intel,Intel Core i3-14100F,i3-14100F,i3,14th,4,4,0,8,4.70,3.50,N/A,N/A,12,58,192,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,20,LGA1700,No,N/A,No,Yes,No,No,N/A,99
