passmark_id,name,category,vram_mb,g3d_mark,samples
4487,EIZO MED-X5000,Unknown,,3038,1
5947,Eng Sample: 100-000000562-40_Y,Unknown,,2370,1
6183,EPSON Projector Support Driver for UD,Desktop,,7579,1
3929,extension Adapter,Unknown,,6726,1
3958,Extreme AX850 PRO,Unknown,,120,1
387,FireGL T2-128,Workstation,128,31,3
388,FireGL V3100,Workstation,128,53,49
389,FireGL V3200,Workstation,128,85,2
391,FireGL V3300,Workstation,128,71,11
392,FireGL V3350,Workstation,256,69,15
393,FireGL V3400,Workstation,128,103,23
394,FireGL V3600,Workstation,256,180,25
396,FireGL V5100,Workstation,128,93,6
397,FireGL V5200,Workstation,256,115,23
398,FireGL V5600,Workstation,512,341,34
399,FireGL V7100,Workstation,256,72,1
400,FireGL V7200,Workstation,256,116,28
401,FireGL V7300,Workstation,512,128,2
402,FireGL V7350,Workstation,1024,111,8
403,FireGL V7600,Workstation,512,616,11
404,FireGL V7700,Workstation,512,660,18
405,FireGL V8600,Workstation,1024,839,1
406,FireGL V8650,Workstation,2048,550,4
407,FireGL X1,Unknown,,59,4
415,FireMV 2200 PCI,Workstation,64,1,1
414,FireMV 2200 PCIe,Workstation,128,36,2
416,FireMV 2250,Unknown,,46,17
417,FireMV 2260,Workstation,256,117,9
418,FireMV 2400 PCIe,Workstation,256,11,4
420,FireMV 2450,Unknown,,74,1
422,FirePro 2260,Unknown,,113,80
115,FirePro 2270,Workstation,1024,142,81
423,FirePro 2450,Workstation,512,51,8
237,FirePro 2460,Workstation,512,170,17
429,FirePro 3D V3700,Workstation,256,179,41
430,FirePro 3D V3750,Workstation,256,341,45
431,FirePro 3D V3800,Workstation,512,472,47
433,FirePro 3D V4800,Workstation,1024,854,438
435,FirePro 3D V5700,Workstation,512,547,30
436,FirePro 3D V5800,Workstation,1024,1232,165
437,FirePro 3D V7750,Workstation,1024,545,23
438,FirePro 3D V7800,Workstation,2048,1867,18
440,FirePro 3D V8700,Workstation,1024,1206,35
441,FirePro 3D V8750,Workstation,2048,1272,4
2314,7900 MOD - Radeon HD 6520G,Unknown,,610,4
442,FirePro 3D V8800,Workstation,2048,2438,34
443,FirePro 3D V9800,Workstation,4096,2812,3
2268,FirePro M2000,Workstation,1024,428,124
238,FirePro M4000,Workstation,2048,1592,200
3360,FirePro M4000 Mobility Pro,Unknown,,1625,42
2194,FirePro M40003,Unknown,,1364,44
3016,Firepro M4100,Workstation,2048,1059,25
3224,FirePro M4150,Unknown,,1036,70
3145,FirePro M4170,Unknown,,1182,26
2818,FirePro M5100,Workstation,2048,1874,12
3125,FirePro M5100 FireGL V,Unknown,,1839,1
233,FirePro M5950,Workstation,1024,1314,2
2231,FirePro M6000,Workstation,2048,1820,1
2437,FirePro M6000 Mobility Pro,Unknown,,1740,83
2657,FirePro M6100,Workstation,2048,2515,159
3695,FirePro M6100 FireGL V,Unknown,,2885,58
425,FirePro M7740,Workstation,1024,665,50
3444,FirePro R5000,Unknown,,2647,1
427,FirePro RG220,Workstation,512,335,1
3330,FirePro S10000,Unknown,,4537,8
2804,FirePro S7000,Workstation,4096,4732,11
3604,FirePro S7150,Unknown,,3770,7
3209,FirePro S9000,Unknown,,5059,6
4287,FirePro S9050,Unknown,,4901,2
3518,FirePro V3800,Unknown,,321,24
240,FirePro V3900,Workstation,1024,628,174
241,FirePro V4900,Workstation,1024,1013,263
3111,FirePro V5700,Unknown,,465,2
3427,FirePro V5800,Unknown,,1184,17
243,FirePro V5900,Workstation,2048,1182,153
2675,FirePro V7000,Unknown,,3162,2
3907,FirePro V7800,Unknown,,2028,5
245,FirePro V7900,Workstation,2048,2261,80
3105,FirePro V8700,Unknown,,1539,1
3344,FirePro V8800,Unknown,,2281,4
3423,FirePro V9800,Unknown,,2727,18
2940,FirePro W2100,Workstation,2048,849,259
3019,FirePro W4100,Workstation,2048,1487,245
3070,FirePro W4170M,Unknown,,1071,443
3491,Firepro W4190M,Unknown,,1164,107
3425,FirePro W4300,Workstation,4096,2675,68
2227,FirePro W5000,Workstation,2048,2972,259
3044,FirePro W5100,Workstation,4096,2977,412
3440,FirePro W5130M,Unknown,,1454,56
3470,Firepro W5170M,"Mobile, Workstation",2048,1816,120
2390,7900 MOD - Radeon HD 6550D,Unknown,,893,1
3886,Barco MXRT 2600,Unknown,,900,1
7285,DisplayLink USB Device Ryzen 7 3750H,Desktop,,1605,1
