id,vendor,model,vram_gb
2,AMD,Radeon (7200),64
3,AMD,Radeon (7200),64
1,AMD,Radeon (7200),32
9,AMD,Radeon 7500,128
11,AMD,Radeon 7500LE,128
10,AMD,Radeon 7500LE,64
13,AMD,Radeon 8500,128
14,AMD,Radeon 8500LE,64
15,AMD,Radeon 8500LE,128
19,AMD,Radeon 9000 Pro,128
21,AMD,Radeon 9100,128
23,AMD,Radeon 9100 Pro,128
22,AMD,Radeon 9100 Pro,64
24,AMD,Radeon 9200,64
25,AMD,Radeon 9200,128
27,AMD,Radeon 9200LE,128
28,AMD,Radeon 9200LE,256
30,AMD,Radeon 9200SE,256
29,AMD,Radeon 9200SE,128
32,AMD,Radeon 9250,128
34,AMD,Radeon 9500,64
40,AMD,Radeon 9550SE,256
39,AMD,Radeon 9550SE,128
42,AMD,Radeon 9600,128
43,AMD,Radeon 9600,256
45,AMD,Radeon 9600LE,128
44,AMD,Radeon 9600LE,128
46,AMD,Radeon 9600SE,128
47,AMD,Radeon 9600SE,256
50,AMD,Radeon 9600XT,128
51,AMD,Radeon 9600XT,256
54,AMD,Radeon 9700TX,128
56,AMD,Radeon 9800,256
59,AMD,Radeon 9800 Pro,128
58,AMD,Radeon 9800SE,256
57,AMD,Radeon 9800SE,128
61,AMD,Radeon 9800XT,256
140,AMD,Radeon HD 2400 Pro,256
144,AMD,Radeon HD 2600XT,256
147,AMD,Radeon HD 2900 Pro,512
146,AMD,Radeon HD 2900GT,256
149,AMD,Radeon HD 2900XT,512
151,AMD,Radeon HD 3450,256
152,AMD,Radeon HD 3470,256
155,AMD,Radeon HD 3650,512
154,AMD,Radeon HD 3650,256
156,AMD,Radeon HD 3650,1024
157,AMD,Radeon HD 3850,256
158,AMD,Radeon HD 3850,512
160,AMD,Radeon HD 3870,512
163,AMD,Radeon HD 4350,256
165,AMD,Radeon HD 4550,512
164,AMD,Radeon HD 4550,256
166,AMD,Radeon HD 4650,512
167,AMD,Radeon HD 4670,512
170,AMD,Radeon HD 4830,512
171,AMD,Radeon HD 4850,512
172,AMD,Radeon HD 4850,1024
174,AMD,Radeon HD 4860,512
175,AMD,Radeon HD 4860,1024
177,AMD,Radeon HD 4870,1024
176,AMD,Radeon HD 4870,512
179,AMD,Radeon HD 4890,1024
180,AMD,Radeon HD 4890,1024
181,AMD,Radeon HD 5450,512
182,AMD,Radeon HD 5450,1024
184,AMD,Radeon HD 5550,1024
183,AMD,Radeon HD 5550,512
185,AMD,Radeon HD 5570,512
186,AMD,Radeon HD 5570,1024
188,AMD,Radeon HD 5670,1024
