System,Brand,Range,,Type,Mount,Lens,,FL (mm),Max FL (mm),Max. Aper.,Filter (mm),MFD (cm),Diam. (mm),Diam. (in.),Length (mm),Length (in.),Weight (g),Weight (oz),IS,WR,Elements,Blades,Price (new),,Notes
Canon,Sigma,Prime,,AF,EF,8mm F3.5 EX DG Circular Fisheye,,8,,3.5,rear,14,74,2.89,69,2.70,400,14.1,,,,,$900,,"Good optics, very sharp by f/8. Fast/accurate AF. Popular for Virtual Tours and panoramas"
Canon,Rokinon,Prime,,MF,EF,10mm F3.5 SP,,10,,3.5,-,26,95,3.74,98,3.86,731,25.8,,,,,"$1,200",,"Rectilinear design, perfect for wide interiors/architecture. Quality construction and great optics. MF"
Canon,Rokinon,Prime,,MF,EF,12mm F2.8 ED AS IF NCS UMC Fisheye,,12,,2.8,-,20,77,3.04,73,2.86,515,18.2,,,,,$500,,Very sharp and lots of fun (180º FOV). Great for astrophotography / landscapes / sports 
Canon,Sigma,Prime,,AF,EF,14mm F1.8 DG HSM Art,,14,,1.8,-,27,95,3.76,126,4.96,1170,41.3,,,,,"$1,600",,"Very sharp, great CA and coma control. Best used with MF (AF is inconsistent). Popular for astro"
Canon,Rokinon,Prime,,MF,EF,14mm F2.8 IF ED UMC,,14,,2.8,-,27,87,3.43,96,3.78,550,19.4,,,,,$340,,"Lots of sample variation, great if you get a good one. Very popular for astrophotography"
Canon,Canon,Prime,,AF,EF,14mm F2.8L II USM,,14,,2.8,rear,20,80,3.15,94,3.70,645,22.8,,,,,"$2,100",,Superb optics - sharp across all apertures. Great for pro interior work / architecture
Canon,Zeiss,Prime,,MF,EF,15mm F2.8 Distagon T* ZE,,15,,2.8,95,25,103,4.06,116,4.57,820,28.9,,,,,"$2,950",,"Optically, the best ultrawide there is (alongside 17mm TS-E). Sharp edge to edge. MF only"
Canon,Sigma,Prime,,AF,EF,15mm F2.8 EX DG Diagonal Fisheye,,15,,2.8,rear,15,74,2.89,69,2.72,370,13.1,,,,,$610,,"Bit soft wide open, but very sharp by f/4 (best at f/8). Solid build quality. Lots of fun with 180° AOV"
Canon,Canon,Prime,,TS-E,EF,17mm F4L TS-E,,17,,4,-,25,89,3.50,107,4.21,820,28.9,,YES,,,"$2,150",,"Superb glass, optically great. Caveat: when tilted >2º, edge quality suffers (CA, fuzziness)"
Canon,Zeiss,Prime,,MF,EF,18mm F3.5 Distagon T* ZE,,18,,3.5,82,30,86,3.40,59,2.31,470,16.6,,,,,"$1,400",,Noticeably sharper (esp. in edges) than Canon's 16-35. Great colors and contrast. MF only
Canon,Canon,Prime,,AF,EF,20mm F2.8 USM,,20,,2.8,72,25,77,3.03,71,2.80,405,14.3,,,,,$540,,"Good optics, sharp (even wide open). Some vignetting. Lightweight, and great value for $"
Canon,Canon,Prime,,AF,EF,24mm F1.4L II USM,,24,,1.4,77,25,94,3.70,87,3.43,650,22.9,,YES,,,"$1,550",,"Excellent glass. Sharp, great construction. A favorite for weddings/documentaries/landscape"
Canon,Sigma,Prime,,AF,EF,24mm F1.4 DG HSM Art,,24,,1.4,77,25,85,3.35,90,3.55,665,23.5,,,,,$850,,"Not weather sealed, but just as sharp as the Canon 24 1.4L. Some sample variation (re: AF)"
Canon,Canon,Prime,,AF,EF,24mm F2.8 IS USM,,24,,2.8,58,20,68,2.68,56,2.20,280,9.9,YES,,,,$600,,Good optics (sharp even wide open). Some vignetting wide open. 2-3 stop IS. Very light!
Canon,Canon,Prime,,TS-E,EF,24mm F3.5L II TS-E,,24,,3.5,82,21,89,3.50,106,4.17,790,27.9,,YES,,,"$1,900",,"Legend glass for arch./landscape. Much better than v1. Very sharp. Smooth dials, solid build"
Canon,Zeiss,Prime,,MF,EF,25mm F2 Distagon T* ZE,,25,,2,67,25,73,2.87,74,2.91,600,21.2,,,,,"$1,700",,"One of the best. Sharp, great colors/contrast. Smooth bokeh. Great build. Small amount of CA"
Canon,Canon,Prime,,AF,EF,28mm F1.8 USM,,28,,1.8,58,25,74,2.91,56,2.20,310,10.9,,,,,$510,,"Good optics. Not as sharp as L lenses wide open, but acceptable. Sharp edge to edge by f/4"
Canon,Zeiss,Prime,,MF,EF,28mm F2 Distagon T*  ZE,,28,,2,58,24,72,2.83,72,2.83,580,20.5,,,,,$800,,"Superb sharpness, colors, and Zeiss microcontrast. Built like a tank. MF only, a bit heavy"
Canon,Canon,Prime,,AF,EF,28mm F2.8 IS USM,,28,,2.8,58,23,68,2.68,52,2.05,260,9.2,YES,,,,$550,,"An excellent 28mm. Sharp, 3 stops of IS, and very compact/light. "
Canon,Rokinon,Prime,,MF,EF,35mm F1.4 AS UMC,,35,,1.4,77,30,83,3.27,112,4.39,710,25.0,,,,,$500,,"Very sharp (if you get a good copy), but average build quality. Works on both FF and APS-C"
Canon,Canon,Prime,,AF,EF,35mm F1.4L II USM,,35,,1.4,72,28,80,3.15,106,4.17,760,26.8,,YES,,,"$1,800",,"A favorite of wedding pros. Sharp even wide open, fast AF, great colors/contrast. Corner CA"
Canon,Tamron,Prime,,SP,EF,35mm F1.4 Di USD,,35,,1.4,72,30,81,3.19,105,4.13,815,28.7,,YES,,,$900,,Exceptional optics. Very sharp. Fast AF. One of the best 35mm lenses out there
Canon,Sigma,Prime,,AF,EF,35mm F1.4 DG HSM Art,,35,,1.4,67,30,77,3.03,94,3.70,665,23.5,,,,,$900,,"Incredible sharpness, colors, and contrast. If you get a copy with no AF issues, it's a legend"
Canon,Tamron,Prime,,AF,EF,35mm F1.8 Di VC USD,,35,,1.8,67,20,80,3.17,81,3.20,479,16.9,YES,YES,,,$600,,Good optics and build. Effective IS. Noticeable CA (more than Canon 35 F2). Weather-sealed.
Canon,Canon,Prime,,AF,EF,35mm F2 IS USM,,35,,2,67,24,78,3.07,63,2.48,335,11.8,YES,,,,$600,,Optically at L level (but with plastic build). Sharp. Vignetting wide open. IS useful for video
Canon,Canon,Prime,,AF,EF,40mm F2.8 STM,,40,,2.8,52,30,68,2.68,22,0.87,130,4.6,,,,,$200,,"Very sharp, fast AF, light and tiny (very discreet). Perfect for street / general / walkaround"
Canon,Tamron,Prime,,AF,EF,45mm F1.8 Di VC USD,,45,,1.8,67,29,80,3.17,91,3.60,544,19.2,YES,YES,,,$600,,Great optics (as sharp as Canon and Sigma 50's). Solid build w/ WR. Sample variation (re: AF)
Canon,Canon,Prime,,TS-E,EF,45mm F2.8 TS-E,,45,,2.8,72,40,90,3.54,81,3.19,645,22.8,,,,,"$1,400",,"Not as sharp as the other TS lenses (and not as much movement), but decent optics & build"
Canon,Canon,Prime,,AF,EF,50mm F1.2L USM,,50,,1.2,72,45,86,3.39,66,2.60,580,20.5,,YES,,,"$1,450",,Great in the right hands (f/1.2 DOF is not easy). Creamy bokeh. Some CA and focus shift
Canon,Canon,Prime,,AF,EF,50mm F1.4 USM,,50,,1.4,58,45,74,2.91,50,1.97,290,10.2,,,,,$400,,"Almost as good as the 1.2 - sharp, great bokeh, much better focus ring than the 1.8 version"
Canon,Zeiss,Prime,,MF,EF,50mm F1.4 ZE Milvus,,50,,1.4,67,45,83,3.27,98,3.86,922,32.5,,YES,,,"$1,200",,"Excellent optics and construction (great haptics). Sharp, clean, beautiful colors, contrast, bokeh. "
Canon,Zeiss,Prime,,MF,EF,50mm F1.4 Planar T* ZE,,50,,1.4,58,45,71,2.80,48,1.89,380,13.4,,,,,$725,,"Very sharp after f/4 (not so good wide open). Excellent colors, contrast, rendition. Built to last."
Canon,Sigma,Prime,,AF,EF,50mm F1.4 DG HSM Art,,50,,1.4,77,40,85,3.36,100,3.93,815,28.7,,,,,$950,,"Superb glass: beautiful colors, rendition, bokeh, no CA. Very sharp once calibrated properly"
Canon,Canon,Prime,,AF,EF,50mm F1.8 STM,,50,,1.8,49,35,69,2.72,39,1.54,159,5.6,,,,,$125,,"The Nifty Fifty (or plastic fantastic). Sharp, light,  fast AF, great bokeh... great value for money"
Canon,Zeiss,Prime,,MF,EF,55mm F1.4 Otus ZE,,55,,1.4,77,50,92,3.64,127,5.01,1030,36.3,,,,,"$4,000",,"The last word in lens engineering. Optical marvel. MF only, heavy and large, but legendary glass"
Canon,Canon,Prime,,MP-E,EF,65mm F2.5 1-5x Macro,,65,,2.5,58,24,81,3.19,98,3.86,710,25.0,,,,,"$1,050",,Specialized macro lens (not for beginners). Excellent optics and build. 1x to 5x magnification range 
Canon,Sigma,Prime,,AF,EF,70mm F2.8 DG Macro Art,,70,,2.8,49,26,71,2.79,106,4.17,515,18.2,,,,,$570,,
Canon,Rokinon,Prime,,MF,EF,85mm F1.2 SP ,,85,,1.2,86,80,93,3.66,98,3.87,1050,37.0,,,,,"$1,000",,"Excellent glass. Very sharp, built to last, great colors/rendition. Optics rival 85L. Great for portraits!"
Canon,Canon,Prime,,AF,EF,85mm F1.2L II USM,,85,,1.2,72,95,91,3.58,84,3.31,1025,36.2,,YES,,,"$2,000",,"A portrait/wedding legend. Sharp, razor thin DOF, beautiful bokeh. Caveats: some CA, slow AF"
Canon,Canon,Prime,,AF,EF,85mm F1.4L IS USM,,85,,1.4,77,85,89,3.50,105,4.13,950,33.5,YES,YES,,,"$1,600",,"More versatile than the 1.2L. Faster AF, just as sharp, great bokeh, better CA control. A winner."
Canon,Zeiss,Prime,,MF,EF,85mm F1.4 Planar T* ZE,,85,,1.4,72,100,78,3.07,65,2.56,670,23.6,,,,,"$1,280",,"If you don't need AF, this lens will impress. Very sharp, great colors, rendering, and bokeh"
Canon,Zeiss,Prime,,MF,EF,85mm F1.4 Otus ZE,,85,,1.4,86,80,101,3.98,124,4.88,1200,42.3,,,,,"$4,500",,"The best 85mm there is. Sharp, beautiful bokeh, legendary Zeiss rendering/contrast. MF only"
Canon,Sigma,Prime,,AF,EF,85mm F1.4 DG HSM Art,,85,,1.4,86,85,95,3.73,126,4.97,1130,39.9,,,,,"$1,200",,"Excellent optics: very sharp, beautiful bokeh, fast AF. Solid build. Produces stunning portraits"
Canon,Rokinon,Prime,,MF,EF,85mm F1.4 AS IF UMC,,85,,1.4,72,100,78,3.07,75,2.94,540,19.0,,,,,$300,,"Soft wide open, sharpens up by f/2. Great bokeh, solid build. Good portrait/video lens on a budget"
Canon,Canon,Prime,,AF,EF,85mm F1.8 USM,,85,,1.8,58,85,75,2.95,71,2.80,425,15.0,,,,,$420,,"Excellent value for money: sharp, lightweight, great bokeh. Some CA/fringing at wide apertures"
Canon,Tamron,Prime,,AF,EF,85mm F1.8 Di VC USD,,85,,1.8,67,80,85,3.34,91,3.59,700,24.7,YES,YES,,,$750,,"Good optics, very sharp by f/4. AF may require calibration. VC noisy but effective. Solid build"
Canon,Tamron,Prime,,AF,EF,90mm F2.8 Di Macro,,90,,2.8,55,29,71,2.80,97,3.80,405,14.3,,,,,$500,,An oldie but a goodie. Great macro lens. AF a bit slower than modern lenses. Great value
Canon,Tamron,Prime,,AF,EF,90mm F2.8 Di Macro 1:1 VC USD,,90,,2.8,62,30,69,2.72,117,4.61,610,21.5,YES,YES,,,$650,,"Sharp, great bokeh. VC very fast (less so in low light). Great for macro and portraits. 1x mag."
