2026-04-19 00:19:25 | INFO     | ss_crawler | [database] [database] Database connected: localhost:5433/ss_market
2026-04-19 00:19:25 | INFO     | ss_crawler | [matcher] [matcher] GPUMatcher initialized with 631 GPUs
2026-04-19 00:19:40 | INFO     | ss_crawler | [database] [database] Database connected: localhost:5433/ss_market
2026-04-19 00:19:40 | INFO     | ss_crawler | [matcher] [matcher] GPUMatcher initialized with 631 GPUs
2026-04-19 00:19:48 | INFO     | ss_crawler | [database] [database] Database connected: localhost:5433/ss_market
2026-04-19 00:19:48 | INFO     | ss_crawler | [matcher] [matcher] GPUMatcher initialized with 631 GPUs
2026-04-19 00:21:03 | INFO     | ss_crawler | [database] [database] Database connected: localhost:5433/ss_market
2026-04-19 00:21:04 | INFO     | ss_crawler | [matcher] [matcher] GPUMatcher initialized with 631 GPUs
2026-04-19 00:47:33 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] 🚀 Initializing CPU scraper...
2026-04-19 00:47:33 | INFO     | ss_crawler | [database] [database] Database connected: localhost:5433/ss_market
2026-04-19 00:47:33 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] 📦 Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-04-19 00:47:33 | ERROR    | ss_crawler | [database] [database] Database transaction failed: (psycopg2.errors.UndefinedTable) relation "cpu_reference" does not exist
LINE 1: SELECT * FROM cpu_reference
                      ^

[SQL: SELECT * FROM cpu_reference]
(Background on this error at: https://sqlalche.me/e/20/f405)
2026-04-19 00:48:32 | INFO     | ss_crawler | [database] [database] Database connected: localhost:5433/ss_market
2026-04-19 00:48:35 | INFO     | ss_crawler | [database] [database] Database connected: localhost:5433/ss_market
2026-04-19 00:48:46 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] 🚀 Initializing CPU scraper...
2026-04-19 00:48:46 | INFO     | ss_crawler | [database] [database] Database connected: localhost:5433/ss_market
2026-04-19 00:48:46 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] 📦 Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-04-19 00:48:46 | INFO     | ss_crawler | [cpu_matcher] [cpu_matcher] CPUMatcher initialized with 5320 CPUs
2026-04-19 00:48:46 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] 🖥️ Loaded 5320 CPU references
2026-04-19 00:48:46 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] 🚀 Initializing CPU scraper...
2026-04-19 00:48:46 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] 📦 Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-04-19 00:48:47 | INFO     | ss_crawler | [cpu_matcher] [cpu_matcher] CPUMatcher initialized with 5320 CPUs
2026-04-19 00:48:47 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] 🖥️ Loaded 5320 CPU references
2026-04-19 00:48:47 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] 🔍 Single URL mode: https://www.ss.com/msg/lv/electronics/computers/completing-pc/cpu/boonbo.html
2026-04-19 00:48:47 | INFO     | ss_crawler | [crawler] [crawler] Fetching single CPU listing: https://www.ss.com/msg/lv/electronics/computers/completing-pc/cpu/boonbo.html
2026-04-19 00:48:49 | INFO     | ss_crawler | [repository] [repository] New listing created: boonbo
2026-04-19 00:50:10 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Initializing CPU scraper...
2026-04-19 00:50:10 | INFO     | ss_crawler | [database] [database] Database connected: localhost:5433/ss_market
2026-04-19 00:50:10 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-04-19 00:50:10 | INFO     | ss_crawler | [cpu_matcher] [cpu_matcher] CPUMatcher initialized with 5320 CPUs
2026-04-19 00:50:10 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Loaded 5320 CPU references
2026-04-19 00:50:10 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Initializing CPU scraper...
2026-04-19 00:50:10 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-04-19 00:50:11 | INFO     | ss_crawler | [cpu_matcher] [cpu_matcher] CPUMatcher initialized with 5320 CPUs
2026-04-19 00:50:11 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Loaded 5320 CPU references
2026-04-19 00:50:11 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Single URL mode: https://www.ss.com/msg/lv/electronics/computers/completing-pc/cpu/boonbo.html
2026-04-19 00:50:11 | INFO     | ss_crawler | [crawler] [crawler] Fetching single CPU listing: https://www.ss.com/msg/lv/electronics/computers/completing-pc/cpu/boonbo.html
2026-04-19 00:51:45 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Initializing CPU scraper...
2026-04-19 00:51:45 | INFO     | ss_crawler | [database] [database] Database connected: localhost:5433/ss_market
2026-04-19 00:51:45 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-04-19 00:51:45 | INFO     | ss_crawler | [cpu_matcher] [cpu_matcher] CPUMatcher initialized with 5320 CPUs
2026-04-19 00:51:45 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Loaded 5320 CPU references
2026-04-19 00:51:45 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Initializing CPU scraper...
2026-04-19 00:51:45 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-04-19 00:51:45 | INFO     | ss_crawler | [cpu_matcher] [cpu_matcher] CPUMatcher initialized with 5320 CPUs
2026-04-19 00:51:45 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Loaded 5320 CPU references
2026-04-19 00:51:45 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Single URL mode: https://www.ss.com/msg/lv/electronics/computers/completing-pc/cpu/boonbo.html
2026-04-19 00:51:45 | INFO     | ss_crawler | [crawler] [crawler] Fetching single CPU listing: https://www.ss.com/msg/lv/electronics/computers/completing-pc/cpu/boonbo.html
2026-04-19 00:57:56 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Initializing CPU scraper...
2026-04-19 00:57:56 | INFO     | ss_crawler | [database] [database] Database connected: localhost:5433/ss_market
2026-04-19 00:57:56 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-04-19 00:57:57 | INFO     | ss_crawler | [cpu_matcher] [cpu_matcher] CPUMatcher initialized with 5320 CPUs
2026-04-19 00:57:57 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Loaded 5320 CPU references
2026-04-19 00:57:57 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Initializing CPU scraper...
2026-04-19 00:57:57 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-04-19 00:57:57 | INFO     | ss_crawler | [cpu_matcher] [cpu_matcher] CPUMatcher initialized with 5320 CPUs
2026-04-19 00:57:57 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Loaded 5320 CPU references
2026-04-19 00:57:57 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Single URL mode: https://www.ss.com/msg/lv/electronics/computers/completing-pc/cpu/boonbo.html
2026-04-19 00:57:57 | INFO     | ss_crawler | [crawler] [crawler] Fetching single CPU listing: https://www.ss.com/msg/lv/electronics/computers/completing-pc/cpu/boonbo.html
2026-04-19 00:58:10 | INFO     | ss_crawler | [scraper] [scraper] 🚀 Initializing scraper...
2026-04-19 00:58:10 | INFO     | ss_crawler | [database] [database] Database connected: localhost:5433/ss_market
2026-04-19 00:58:10 | INFO     | ss_crawler | [scraper] [scraper] 📦 Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-04-19 00:58:10 | INFO     | ss_crawler | [matcher] [matcher] GPUMatcher initialized with 631 GPUs
2026-04-19 00:58:10 | INFO     | ss_crawler | [scraper] [scraper] 🎮 Loaded 631 GPU references
2026-04-19 00:58:10 | INFO     | ss_crawler | [scraper] [scraper] 🚀 Initializing scraper...
2026-04-19 00:58:10 | INFO     | ss_crawler | [scraper] [scraper] 📦 Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-04-19 00:58:10 | INFO     | ss_crawler | [matcher] [matcher] GPUMatcher initialized with 631 GPUs
2026-04-19 00:58:10 | INFO     | ss_crawler | [scraper] [scraper] 🎮 Loaded 631 GPU references
2026-04-19 00:58:10 | INFO     | ss_crawler | [scraper] [scraper] 🔍 Single URL mode: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/biloio.html
2026-04-19 00:58:10 | INFO     | ss_crawler | [crawler] [crawler] Fetching single listing: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/biloio.html
2026-04-19 01:02:22 | INFO     | ss_crawler | [database] [database] Database connected: localhost:5433/ss_market
2026-04-19 01:02:22 | INFO     | ss_crawler | [cpu_matcher] [cpu_matcher] CPUMatcher initialized with 5320 CPUs
2026-04-19 01:04:05 | INFO     | ss_crawler | [database] [database] Database connected: localhost:5433/ss_market
2026-04-19 01:04:05 | INFO     | ss_crawler | [cpu_matcher] [cpu_matcher] CPUMatcher initialized with 5320 CPUs
2026-04-19 01:04:47 | INFO     | ss_crawler | [database] [database] Database connected: localhost:5433/ss_market
2026-04-19 01:04:47 | INFO     | ss_crawler | [cpu_matcher] [cpu_matcher] CPUMatcher initialized with 5320 CPUs
2026-04-19 01:04:52 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Initializing CPU scraper...
2026-04-19 01:04:52 | INFO     | ss_crawler | [database] [database] Database connected: localhost:5433/ss_market
2026-04-19 01:04:52 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-04-19 01:04:52 | INFO     | ss_crawler | [cpu_matcher] [cpu_matcher] CPUMatcher initialized with 5320 CPUs
2026-04-19 01:04:52 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Loaded 5320 CPU references
2026-04-19 01:04:52 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Initializing CPU scraper...
2026-04-19 01:04:52 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-04-19 01:04:52 | INFO     | ss_crawler | [cpu_matcher] [cpu_matcher] CPUMatcher initialized with 5320 CPUs
2026-04-19 01:04:52 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Loaded 5320 CPU references
2026-04-19 01:04:52 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Single URL mode: https://www.ss.com/msg/lv/electronics/computers/completing-pc/cpu/boonbo.html
2026-04-19 01:04:52 | INFO     | ss_crawler | [crawler] [crawler] Fetching single CPU listing: https://www.ss.com/msg/lv/electronics/computers/completing-pc/cpu/boonbo.html
2026-04-19 01:05:53 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Initializing CPU scraper...
2026-04-19 01:05:53 | INFO     | ss_crawler | [database] [database] Database connected: localhost:5433/ss_market
2026-04-19 01:05:53 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-04-19 01:05:53 | INFO     | ss_crawler | [cpu_matcher] [cpu_matcher] CPUMatcher initialized with 5320 CPUs
2026-04-19 01:05:53 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Loaded 5320 CPU references
2026-04-19 01:05:53 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Initializing CPU scraper...
2026-04-19 01:05:53 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-04-19 01:05:53 | INFO     | ss_crawler | [cpu_matcher] [cpu_matcher] CPUMatcher initialized with 5320 CPUs
2026-04-19 01:05:53 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Loaded 5320 CPU references
2026-04-19 01:05:53 | INFO     | ss_crawler | [cpu_scraper] [cpu_scraper] Single URL mode: https://www.ss.com/msg/lv/electronics/computers/completing-pc/cpu/fekmo.html
2026-04-19 01:05:53 | INFO     | ss_crawler | [crawler] [crawler] Fetching single CPU listing: https://www.ss.com/msg/lv/electronics/computers/completing-pc/cpu/fekmo.html
2026-04-19 01:05:55 | INFO     | ss_crawler | [repository] [repository] New listing created: fekmo
2026-04-19 01:07:54 | INFO     | ss_crawler | [database] [database] Database connected: localhost:5433/ss_market
2026-04-19 01:07:55 | INFO     | ss_crawler | [cpu_matcher] [cpu_matcher] CPUMatcher initialized with 5320 CPUs
2026-04-19 01:08:28 | INFO     | ss_crawler | [database] [database] Database connected: localhost:5433/ss_market
