2026-05-17 00:00:56 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/objectives/aebcf.html
2026-05-17 00:00:59 | INFO     | ss_crawler | [lens_scraper] Initializing Lens scraper...
2026-05-17 00:00:59 | INFO     | ss_crawler | [database] Database connected: localhost:5433/ss_market
2026-05-17 00:00:59 | INFO     | ss_crawler | [lens_scraper] Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-05-17 00:00:59 | INFO     | ss_crawler | [lens_scraper] Loaded 481 lens references
2026-05-17 00:00:59 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/objectives/aebcf.html
2026-05-17 00:01:02 | INFO     | ss_crawler | [lens_scraper] MODEL EXTRACTED: '24-105 f4'
2026-05-17 00:01:02 | INFO     | ss_crawler | [lens_scraper] MOUNT DETECT: EF
2026-05-17 00:01:02 | INFO     | ss_crawler | [lens_scraper] Detected focal: 24mm-105mm (from_model=True)
2026-05-17 00:01:02 | INFO     | ss_crawler | [lens_scraper] Using TITLE ONLY for matching: 'canon modelis: 24-105 f4...'
2026-05-17 00:01:02 | INFO     | ss_crawler | [lens_scraper] BEST MATCH: 24-105mm F4L IS USM score=1.50
2026-05-17 00:01:02 | INFO     | ss_crawler | [lens_scraper] Matched [aebcf]: Canon_24-105mm_F4L_IS_USM (100% confidence)
2026-05-17 00:01:12 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/objectives/eibbp.html
2026-05-17 00:01:15 | INFO     | ss_crawler | [lens_scraper] Initializing Lens scraper...
2026-05-17 00:01:15 | INFO     | ss_crawler | [database] Database connected: localhost:5433/ss_market
2026-05-17 00:01:15 | INFO     | ss_crawler | [lens_scraper] Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-05-17 00:01:15 | INFO     | ss_crawler | [lens_scraper] Loaded 481 lens references
2026-05-17 00:01:15 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/objectives/eibbp.html
2026-05-17 00:01:17 | INFO     | ss_crawler | [lens_scraper] MODEL EXTRACTED: 'ef 25mm t/2.0'
2026-05-17 00:01:17 | INFO     | ss_crawler | [lens_scraper] MOUNT DETECT: EF
2026-05-17 00:01:17 | INFO     | ss_crawler | [lens_scraper] Detected focal: 25mm (from_model=True)
2026-05-17 00:01:17 | INFO     | ss_crawler | [lens_scraper] Using TITLE ONLY for matching: 'carl zeiss modelis: ef 25mm t/2.0...'
2026-05-17 00:01:17 | INFO     | ss_crawler | [lens_scraper] BEST MATCH: 25mm F2 Distagon T* ZE score=0.85
2026-05-17 00:01:17 | INFO     | ss_crawler | [lens_scraper] Matched [eibbp]: Zeiss_25mm_F2_Distagon_T*_ZE (85% confidence)
2026-05-17 00:01:39 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/objectives/bhnnxk.html
2026-05-17 00:01:42 | INFO     | ss_crawler | [lens_scraper] Initializing Lens scraper...
2026-05-17 00:01:42 | INFO     | ss_crawler | [database] Database connected: localhost:5433/ss_market
2026-05-17 00:01:42 | INFO     | ss_crawler | [lens_scraper] Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-05-17 00:01:42 | INFO     | ss_crawler | [lens_scraper] Loaded 481 lens references
2026-05-17 00:01:42 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/objectives/bhnnxk.html
2026-05-17 00:01:44 | INFO     | ss_crawler | [lens_scraper] MODEL EXTRACTED: 'ef 24 1, 4lii'
2026-05-17 00:01:44 | INFO     | ss_crawler | [lens_scraper] MOUNT DETECT: EF
2026-05-17 00:01:44 | INFO     | ss_crawler | [lens_scraper] BEST MATCH: 20mm F2.8 USM score=0.90
2026-05-17 00:01:44 | INFO     | ss_crawler | [lens_scraper] Matched [bhnnxk]: Canon_20mm_F2.8_USM (90% confidence)
2026-05-17 00:02:31 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/objectives/aafxg.html
