2026-07-28 12:35:16 | INFO     | ss_crawler | [camera_scraper] Initializing Camera scraper...
2026-07-28 12:35:16 | INFO     | ss_crawler | [database] Database connected: localhost:5433/ss_market
2026-07-28 12:35:16 | INFO     | ss_crawler | [camera_scraper] Loaded 122 camera references
2026-07-28 12:35:16 | INFO     | ss_crawler | [camera_scraper] Starting camera category scrape: https://www.ss.com/lv/electronics/photo-optics/slr-cameras/
2026-07-28 12:35:16 | INFO     | ss_crawler | [camera_scraper] Fetching page 1: https://www.ss.com/lv/electronics/photo-optics/slr-cameras/
2026-07-28 12:35:16 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/lv/electronics/photo-optics/slr-cameras/
2026-07-28 12:35:19 | INFO     | ss_crawler | [camera_scraper] Found 32 listings on page 1
2026-07-28 12:35:19 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/canon/bfiijp.html
2026-07-28 12:35:22 | INFO     | ss_crawler | [camera_matcher] Matched camera: Canon 5D Mark IV (score: 1.57)
2026-07-28 12:35:22 | INFO     | ss_crawler | [camera_scraper] Matched camera: Canon 5D Mark IV (100% confidence)
2026-07-28 12:35:22 | INFO     | ss_crawler | [camera_scraper] Matched [bfiijp]: Canon 5D Mark IV (100% confidence)
2026-07-28 12:35:22 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/canon/bfiijp.html
2026-07-28 12:35:23 | INFO     | ss_crawler | [camera_matcher] Matched camera: Canon 5D Mark IV (score: 1.57)
2026-07-28 12:35:23 | INFO     | ss_crawler | [camera_scraper] Matched camera: Canon 5D Mark IV (100% confidence)
2026-07-28 12:35:23 | INFO     | ss_crawler | [camera_scraper] Matched [bfiijp]: Canon 5D Mark IV (100% confidence)
2026-07-28 12:35:23 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/canon/bfiijp.html
2026-07-28 12:35:25 | INFO     | ss_crawler | [camera_matcher] Matched camera: Canon 5D Mark IV (score: 1.57)
2026-07-28 12:35:25 | INFO     | ss_crawler | [camera_scraper] Matched camera: Canon 5D Mark IV (100% confidence)
2026-07-28 12:35:25 | INFO     | ss_crawler | [camera_scraper] Matched [bfiijp]: Canon 5D Mark IV (100% confidence)
2026-07-28 12:35:25 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/canon/bfghig.html
2026-07-28 12:35:28 | INFO     | ss_crawler | [camera_matcher] Matched camera: Canon 700D / T5i / X7i (score: 1.07)
2026-07-28 12:35:28 | INFO     | ss_crawler | [camera_scraper] Matched camera: Canon 700D / T5i / X7i (100% confidence)
2026-07-28 12:35:28 | INFO     | ss_crawler | [camera_scraper] Matched [bfghig]: Canon 700D / T5i / X7i (100% confidence)
2026-07-28 12:35:28 | INFO     | ss_crawler | [camera_scraper] Detected lenses in [bfghig]: 18-55mm F4-5.6 IS STM
2026-07-28 12:35:28 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/pentax/bfmhbi.html
2026-07-28 12:35:31 | INFO     | ss_crawler | [camera_scraper] No camera match for [bfmhbi]
2026-07-28 12:35:31 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/canon/bfgkno.html
2026-07-28 12:35:32 | INFO     | ss_crawler | [camera_matcher] Matched camera: Canon 5Ds / 5Ds R (score: 1.03)
2026-07-28 12:35:32 | INFO     | ss_crawler | [camera_scraper] Matched camera: Canon 5Ds / 5Ds R (100% confidence)
2026-07-28 12:35:32 | INFO     | ss_crawler | [camera_scraper] Matched [bfgkno]: Canon 5Ds / 5Ds R (100% confidence)
2026-07-28 12:35:32 | INFO     | ss_crawler | [camera_scraper] Detected lenses in [bfgkno]: 24-105mm F4L IS USM
2026-07-28 12:35:32 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/canon/bfimkm.html
2026-07-28 12:35:34 | INFO     | ss_crawler | [camera_matcher] Matched camera: Canon 6D (score: 0.99)
2026-07-28 12:35:34 | INFO     | ss_crawler | [camera_scraper] Matched camera: Canon 6D (99% confidence)
2026-07-28 12:35:34 | INFO     | ss_crawler | [camera_scraper] Matched [bfimkm]: Canon 6D (99% confidence)
2026-07-28 12:35:34 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/nikon/bfimlj.html
2026-07-28 12:35:36 | INFO     | ss_crawler | [camera_scraper] Filtered [bfimlj]: filtered_nikon
2026-07-28 12:35:36 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/canon/bfekhe.html
2026-07-28 12:35:37 | INFO     | ss_crawler | [camera_matcher] Matched camera: Canon 5D Mark IV (score: 1.67)
2026-07-28 12:35:37 | INFO     | ss_crawler | [camera_scraper] Matched camera: Canon 5D Mark IV (100% confidence)
2026-07-28 12:35:37 | INFO     | ss_crawler | [camera_scraper] Matched [bfekhe]: Canon 5D Mark IV (100% confidence)
2026-07-28 12:35:37 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/nikon/bfkoxb.html
2026-07-28 12:37:36 | INFO     | ss_crawler | [image_downloader] Downloaded image for abbkx (stored as abbkx_b8e6cd2e.jpg, 69246 bytes)
2026-07-28 12:38:13 | INFO     | ss_crawler | [image_downloader] Downloaded image for testplace (stored as testplace_b8e6cd2e.jpg, 69246 bytes)
2026-07-28 12:40:40 | INFO     | ss_crawler | [camera_scraper] Initializing Camera scraper...
2026-07-28 12:40:40 | INFO     | ss_crawler | [database] Database connected: localhost:5433/ss_market
2026-07-28 12:40:40 | INFO     | ss_crawler | [camera_scraper] Loaded 122 camera references
2026-07-28 12:40:40 | INFO     | ss_crawler | [camera_scraper] Starting camera category scrape: https://www.ss.com/lv/electronics/photo-optics/slr-cameras/
2026-07-28 12:40:40 | INFO     | ss_crawler | [camera_scraper] Fetching page 1: https://www.ss.com/lv/electronics/photo-optics/slr-cameras/
2026-07-28 12:40:40 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/lv/electronics/photo-optics/slr-cameras/
2026-07-28 12:40:42 | INFO     | ss_crawler | [camera_scraper] Found 32 listings on page 1
2026-07-28 12:40:42 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/canon/bfiijp.html
2026-07-28 12:40:46 | INFO     | ss_crawler | [camera_matcher] Matched camera: Canon 5D Mark IV (score: 1.57)
2026-07-28 12:40:46 | INFO     | ss_crawler | [camera_scraper] Matched camera: Canon 5D Mark IV (100% confidence)
2026-07-28 12:40:46 | INFO     | ss_crawler | [camera_scraper] Matched [bfiijp]: Canon 5D Mark IV (100% confidence)
2026-07-28 12:40:46 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/canon/bfiijp.html
2026-07-28 12:40:49 | INFO     | ss_crawler | [camera_matcher] Matched camera: Canon 5D Mark IV (score: 1.57)
2026-07-28 12:40:49 | INFO     | ss_crawler | [camera_scraper] Matched camera: Canon 5D Mark IV (100% confidence)
2026-07-28 12:40:49 | INFO     | ss_crawler | [camera_scraper] Matched [bfiijp]: Canon 5D Mark IV (100% confidence)
2026-07-28 12:40:49 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/canon/bfiijp.html
2026-07-28 12:40:51 | INFO     | ss_crawler | [camera_matcher] Matched camera: Canon 5D Mark IV (score: 1.57)
2026-07-28 12:40:51 | INFO     | ss_crawler | [camera_scraper] Matched camera: Canon 5D Mark IV (100% confidence)
2026-07-28 12:40:51 | INFO     | ss_crawler | [camera_scraper] Matched [bfiijp]: Canon 5D Mark IV (100% confidence)
2026-07-28 12:40:51 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/canon/bfghig.html
2026-07-28 12:40:53 | INFO     | ss_crawler | [camera_matcher] Matched camera: Canon 700D / T5i / X7i (score: 1.07)
2026-07-28 12:40:53 | INFO     | ss_crawler | [camera_scraper] Matched camera: Canon 700D / T5i / X7i (100% confidence)
2026-07-28 12:40:53 | INFO     | ss_crawler | [camera_scraper] Matched [bfghig]: Canon 700D / T5i / X7i (100% confidence)
2026-07-28 12:40:53 | INFO     | ss_crawler | [camera_scraper] Detected lenses in [bfghig]: 18-55mm F4-5.6 IS STM
2026-07-28 12:40:53 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/pentax/bfmhbi.html
2026-07-28 12:40:55 | INFO     | ss_crawler | [camera_scraper] No camera match for [bfmhbi]
2026-07-28 12:40:55 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/canon/bfgkno.html
2026-07-28 12:40:58 | INFO     | ss_crawler | [camera_matcher] Matched camera: Canon 5Ds / 5Ds R (score: 1.03)
2026-07-28 12:40:58 | INFO     | ss_crawler | [camera_scraper] Matched camera: Canon 5Ds / 5Ds R (100% confidence)
2026-07-28 12:40:58 | INFO     | ss_crawler | [camera_scraper] Matched [bfgkno]: Canon 5Ds / 5Ds R (100% confidence)
2026-07-28 12:40:58 | INFO     | ss_crawler | [camera_scraper] Detected lenses in [bfgkno]: 24-105mm F4L IS USM
2026-07-28 12:40:58 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/canon/bfimkm.html
2026-07-28 12:41:01 | INFO     | ss_crawler | [camera_matcher] Matched camera: Canon 6D (score: 0.99)
2026-07-28 12:41:01 | INFO     | ss_crawler | [camera_scraper] Matched camera: Canon 6D (99% confidence)
2026-07-28 12:41:01 | INFO     | ss_crawler | [camera_scraper] Matched [bfimkm]: Canon 6D (99% confidence)
2026-07-28 12:41:01 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/nikon/bfimlj.html
2026-07-28 12:41:04 | INFO     | ss_crawler | [camera_scraper] Filtered [bfimlj]: filtered_nikon
2026-07-28 12:41:04 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/canon/bfekhe.html
2026-07-28 12:41:08 | INFO     | ss_crawler | [camera_matcher] Matched camera: Canon 5D Mark IV (score: 1.67)
2026-07-28 12:41:08 | INFO     | ss_crawler | [camera_scraper] Matched camera: Canon 5D Mark IV (100% confidence)
2026-07-28 12:41:08 | INFO     | ss_crawler | [camera_scraper] Matched [bfekhe]: Canon 5D Mark IV (100% confidence)
2026-07-28 12:41:08 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/nikon/bfkoxb.html
2026-07-28 12:41:10 | INFO     | ss_crawler | [camera_scraper] Filtered [bfkoxb]: filtered_nikon
2026-07-28 12:41:10 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/other/bfeden.html
2026-07-28 12:41:13 | INFO     | ss_crawler | [camera_scraper] No camera match for [bfeden]
2026-07-28 12:41:13 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/nikon/bglxcf.html
2026-07-28 12:41:15 | INFO     | ss_crawler | [camera_scraper] Filtered [bglxcf]: filtered_nikon
2026-07-28 12:41:15 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/nikon/bfjelb.html
2026-07-28 12:41:18 | INFO     | ss_crawler | [camera_scraper] Filtered [bfjelb]: filtered_nikon
2026-07-28 12:41:18 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/nikon/bfimmi.html
2026-07-28 12:41:21 | INFO     | ss_crawler | [camera_scraper] Filtered [bfimmi]: filtered_nikon
2026-07-28 12:41:21 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/nikon/bfjfgf.html
2026-07-28 12:41:24 | INFO     | ss_crawler | [camera_scraper] Filtered [bfjfgf]: filtered_nikon
2026-07-28 12:41:24 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/canon/bfgjep.html
2026-07-28 12:41:27 | INFO     | ss_crawler | [camera_matcher] Matched camera: Canon 700D / T5i / X7i (score: 1.03)
2026-07-28 12:41:27 | INFO     | ss_crawler | [camera_scraper] Matched camera: Canon 700D / T5i / X7i (100% confidence)
2026-07-28 12:41:27 | INFO     | ss_crawler | [camera_scraper] Matched [bfgjep]: Canon 700D / T5i / X7i (100% confidence)
2026-07-28 12:41:27 | INFO     | ss_crawler | [camera_scraper] Detected lenses in [bfgjep]: 50mm F1.8 STM
2026-07-28 12:41:27 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/slr-cameras/canon/bfjmxe.html
2026-07-28 12:41:29 | INFO     | ss_crawler | [camera_matcher] Matched camera: Canon 1D Mark II / N (score: 0.73)
