Name,Form Factor,Efficiency Rating,Wattage,Modular,Rating,Price
1STPLAYER NGDP,ATX,80+ Gold,750 W,Full,0,
1STPLAYER NGDP,ATX,80+ Gold,850 W,Full,1,
1STPLAYER NGDP ATX 3.0,ATX,80+ Platinum,1000 W,Full,0,169
ABS Majesty,ATX,80+ Gold,1100 W,Full,0,
ADATA XPG CORE Reactor 650,ATX,80+ Gold,650 W,Full,3,
ADATA XPG CORE Reactor 750,ATX,80+ Gold,750 W,Full,11,
ADATA XPG CORE Reactor 850,ATX,80+ Gold,850 W,Full,15,
ADATA XPG Core Reactor II,ATX,80+ Gold,850 W,Full,5,129.99
ADATA XPG Core Reactor II,ATX,80+ Gold,1000 W,Full,1,154.99
ADATA XPG Core Reactor II,ATX,80+ Gold,750 W,Full,8,
ADATA XPG Core Reactor II,ATX,80+ Gold,850 W,Full,0,
ADATA XPG Core Reactor II,ATX,80+ Gold,650 W,Full,2,
ADATA XPG Core Reactor II VE,ATX,80+ Gold,850 W,Full,3,105.99
ADATA XPG Core Reactor II VE,ATX,80+ Gold,750 W,Full,4,104.99
ADATA XPG Core Reactor II VE,ATX,80+ Gold,650 W,Full,1,89.99
ADATA XPG CYBERCORE,ATX,80+ Platinum,1000 W,Full,1,
ADATA XPG CYBERCORE II,ATX,80+ Platinum,1000 W,Full,0,149.99
ADATA XPG FUSION 1600,ATX,80+ Titanium,1600 W,Full,0,
ADATA XPG KYBER,ATX,80+ Gold,750 W,No,2,
ADATA XPG KYBER,ATX,80+ Gold,850 W,No,0,
ADATA XPG PYLON,ATX,80+ Bronze,750 W,No,0,
ADATA XPG PYLON,ATX,80+ Bronze,650 W,No,3,
ADATA XPG PYLON,ATX,80+ Bronze,550 W,No,4,
Aerocool AER-P7-P650W,ATX,80+ Platinum,650 W,Full,1,
Aerocool GT-1050SG,ATX,80+ Gold,1050 W,Semi,0,
Aerocool Integrator,ATX,80+ Bronze,600 W,No,1,
Aerocool Integrator,ATX,80+ Bronze,500 W,No,6,
Aerocool Integrator,ATX,80+ Bronze,700 W,No,0,
Aerocool Integrator Gold,ATX,80+ Gold,750 W,Full,1,
Aerocool Integrator Gold,ATX,80+ Gold,850 W,Full,0,
Aerocool Integrator MOD XT,ATX,80+ Bronze,750 W,Semi,1,
Aerocool LUX RGB 750M ,ATX,80+ Bronze,750 W,Semi,0,
Aerocool P7 Platinum,ATX,80+ Platinum,850 W,Full,1,
Aerocool PREMIER G1,ATX,80+ Gold,850 W,Full,0,
Aerocool XPredator GM,ATX,80+ Gold,1000 W,Semi,0,
Anima APII500,ATX,,500 W,No,0,
Antec Basiq,ATX,80+,550 W,Semi,13,118.02
Antec Basiq,ATX,,350 W,No,6,
Antec Basiq,ATX,80+,430 W,No,1,
Antec CSK,ATX,80+ Bronze,750 W,Semi,0,
Antec EA-750 Platinum,ATX,80+ Platinum,750 W,No,1,
Antec Earthwatts,ATX,80+ Bronze,650 W,No,18,
Antec Earthwatts,ATX,80+ Bronze,500 W,No,2,118.11
Antec Earthwatts,ATX,80+,750 W,No,0,
Antec Earthwatts,ATX,80+ Platinum,450 W,No,1,
Antec EARTHWATTS GOLD PRO 550,ATX,80+ Gold,550 W,Semi,5,
Antec EARTHWATTS GOLD PRO 650,ATX,80+ Gold,650 W,Semi,4,
Antec EARTHWATTS GOLD PRO 750,ATX,80+ Gold,750 W,Semi,12,
Antec Earthwatts Green,ATX,80+ Bronze,430 W,No,2,108.02
Antec Earthwatts Green,ATX,80+ Bronze,380 W,No,13,
Antec Earthwatts Green,ATX,80+ Bronze,350 W,No,0,
Antec Earthwatts Green,ATX,80+,500 W,No,1,
Antec Earthwatts Green,ATX,80+ Bronze,750 W,No,4,
Antec EarthWatts Platinum,ATX,80+ Platinum,550 W,No,1,148.02
Antec EarthWatts Platinum,ATX,80+ Platinum,650 W,No,3,
Antec EDGE,ATX,80+ Gold,550 W,Full,3,
Antec EDGE,ATX,80+ Gold,750 W,Full,1,
Antec GSK ATX3.1,ATX,80+ Gold,850 W,Full,2,
Antec GSK ATX3.1,ATX,80+ Gold,750 W,Full,0,
Antec HCG-750 Bronze,ATX,80+ Bronze,750 W,No,3,
Antec High Current Gamer,ATX,80+ Bronze,620 W,Semi,28,
Antec High Current Gamer,ATX,80+ Bronze,900 W,No,9,
Antec High Current Gamer,ATX,80+ Bronze,520 W,Semi,15,
Antec High Current Gamer,ATX,80+ Bronze,850 W,Semi,6,
Antec High Current Gamer,ATX,80+ Bronze,620 W,No,4,
Antec High Current Gamer,ATX,80+ Bronze,750 W,Semi,7,
Antec High Current Gamer,ATX,80+ Bronze,400 W,Semi,0,
Antec High Current Gamer,ATX,80+ Bronze,520 W,No,3,
Antec High Current Gamer Extreme,ATX,80+ Gold,1000 W,Full,4,
