Name,Speed,Modules,First Word Latency,CAS Latency,Rating,Price
Corsair Vengeance RGB 32 GB,DDR5-6000,2 x 16GB,12,36,106,439.99
Corsair Vengeance LPX 32 GB,DDR4-3200,2 x 16GB,10,16,78,219.99
Corsair Vengeance RGB 32 GB,DDR5-6000,2 x 16GB,12,36,23,413.99
Crucial Pro Overclocking 32 GB,DDR5-6000,2 x 16GB,12,36,63,398.74
Corsair Vengeance LPX 16 GB,DDR4-3200,2 x 8GB,10,16,516,164.99
Crucial Pro 32 GB,DDR5-6400,2 x 16GB,11,38,2,349.99
Corsair Vengeance RGB 16 GB,DDR5-5200,2 x 8GB,15,40,2,224.99
Silicon Power GAMING 16 GB,DDR4-3200,2 x 8GB,10,16,68,114.97
Patriot Viper Elite 5 16 GB,DDR5-6000,1 x 16GB,10,30,4,199.99
Corsair Vengeance 32 GB,DDR5-6000,2 x 16GB,12,36,8,404.57
G.Skill Flare X5 32 GB,DDR5-6000,2 x 16GB,12,36,118,432.99
Corsair Vengeance RGB 64 GB,DDR5-6000,2 x 32GB,10,30,25,1154.99
Crucial Pro Overclocking 32 GB,DDR5-6400,2 x 16GB,10,32,2,374.99
G.Skill Ripjaws V 16 GB,DDR4-3200,2 x 8GB,10,16,237,154.99
Kingston FURY Beast 128 GB,DDR4-3600,4 x 32GB,10,18,1,1929.54
Kingston FURY Beast 32 GB,DDR5-6000,2 x 16GB,10,30,34,450
TEAMGROUP T-Force Delta RGB 16 GB,DDR5-6000,2 x 8GB,12,38,3,219.99
G.Skill Trident Z5 Neo RGB 32 GB,DDR5-6000,2 x 16GB,10,30,134,479.99
G.Skill Trident Z5 RGB 128 GB,DDR5-6400,2 x 64GB,11,36,0,2999.99
Crucial Pro 64 GB,DDR5-6000,2 x 32GB,13,40,5,629.99
Corsair Vengeance LPX 16 GB,DDR4-3200,2 x 8GB,10,16,22,148.99
Corsair Vengeance 16 GB,DDR5-5200,2 x 8GB,15,40,6,264.99
G.Skill Trident Z5 Neo RGB 64 GB,DDR5-6000,2 x 32GB,10,30,57,929.99
Kingston FURY Beast 8 GB,DDR4-3200,1 x 8GB,10,16,0,85.5
Silicon Power GAMING 32 GB,DDR4-3200,2 x 16GB,10,16,27,196.97
Corsair Vengeance RGB Pro 16 GB,DDR4-3200,2 x 8GB,10,16,386,231.23
TEAMGROUP T-Create Expert 32 GB,DDR5-6000,2 x 16GB,10,30,123,479.99
TEAMGROUP T-Force Vulcan 16 GB,DDR5-6000,2 x 8GB,12,38,0,239.99
Kingston FURY Beast 16 GB,DDR5-5200,2 x 8GB,15,40,10,259
Corsair Vengeance RGB Pro 32 GB,DDR4-3600,2 x 16GB,10,18,106,
G.Skill Flare X5 16 GB,DDR5-6000,1 x 16GB,12,36,3,234.99
Kingston FURY Beast RGB 32 GB,DDR5-6000,2 x 16GB,10,30,16,444.99
Corsair Vengeance 32 GB,DDR5-6000,2 x 16GB,10,30,83,542.99
Kingston FURY Beast 16 GB,DDR4-3200,2 x 8GB,10,16,26,202.97
TEAMGROUP T-Force Delta RGB 32 GB,DDR5-6000,2 x 16GB,10,30,93,469.99
Patriot Viper Venom 32 GB,DDR5-6000,2 x 16GB,10,30,28,417.99
Patriot Viper Venom 16 GB,DDR5-5600,2 x 8GB,14,40,1,215.99
ADATA XPG GAMMIX D10 16 GB,DDR4-3200,2 x 8GB,10,16,0,99.99
TEAMGROUP T-Force Delta RGB 32 GB,DDR5-6000,2 x 16GB,10,30,94,469.99
TEAMGROUP T-Force Vulcan Z 16 GB,DDR4-3200,2 x 8GB,10,16,121,119.99
Silicon Power Value Gaming 32 GB,DDR5-6000,2 x 16GB,10,30,17,379.97
Silicon Power XPOWER Storm RGB 32 GB,DDR5-6000,2 x 16GB,12,36,2,474.99
Corsair Vengeance 32 GB,DDR5-6200,2 x 16GB,11,36,1,453.99
Corsair Vengeance 128 GB,DDR5-6400,2 x 64GB,13,42,2,1690.99
Corsair Vengeance LPX 32 GB,DDR4-3600,2 x 16GB,10,18,12,
Patriot Viper Venom 16 GB,DDR5-6000,1 x 16GB,10,30,2,199.99
Corsair Vengeance RGB 32 GB,DDR5-6400,2 x 16GB,11,36,17,394.99
Crucial Pro Overclocking 32 GB,DDR5-6000,2 x 16GB,12,36,13,389.99
G.Skill Ripjaws V 32 GB,DDR4-3200,2 x 16GB,10,16,137,217.99
Klevv FIT V 32 GB,DDR5-6000,2 x 16GB,10,30,4,
Silicon Power XPOWER Turbine 16 GB,DDR4-3200,2 x 8GB,10,16,32,120.97
G.Skill Flare X5 64 GB,DDR5-6000,2 x 32GB,10,30,34,935
G.Skill Trident Z RGB 16 GB,DDR4-3200,2 x 8GB,10,16,360,174.99
Corsair Vengeance RGB Pro 32 GB,DDR4-3200,2 x 16GB,10,16,45,239.99
Kingston FURY Beast RGB 16 GB,DDR5-6000,2 x 8GB,12,36,8,269.99
Silicon Power SP008GBLVU480G02 8 GB,DDR5-4800,1 x 8GB,16,40,0,116.97
Corsair Vengeance RGB 32 GB,DDR5-6000,2 x 16GB,10,30,85,578.65
Corsair Vengeance 64 GB,DDR5-5200,2 x 32GB,15,40,8,599.99
G.Skill Trident Z5 Royal Neo RGB 32 GB,DDR5-6000,2 x 16GB,9,28,17,569.99
Kingston FURY Beast 16 GB,DDR5-6000,2 x 8GB,10,30,0,279.99
Crucial CT8G4DFS824A 8 GB,DDR4-2400,1 x 8GB,14,17,4,64.98
Silicon Power XPOWER Zenith Gaming 32 GB,DDR5-6000,2 x 16GB,10,30,6,369.99
TEAMGROUP T-Force Vulcan Z 16 GB,DDR4-3200,2 x 8GB,10,16,5,129.99
Corsair Vengeance 32 GB,DDR5-6000,2 x 16GB,10,30,32,565.99
G.Skill Ripjaws S5 32 GB,DDR5-6000,2 x 16GB,12,36,30,379.99
Corsair Vengeance RGB 32 GB,DDR5-6000,2 x 16GB,12,36,4,441.99
Corsair Dominator Platinum RGB 32 GB,DDR5-5200,2 x 16GB,15,40,3,482.99
Crucial Pro 64 GB,DDR4-3200,2 x 32GB,13,22,6,449.99
TEAMGROUP Vulcan Z 16 GB,DDR4-3600,2 x 8GB,10,18,19,119.99
TEAMGROUP T-Force Vulcan 32 GB,DDR5-6000,2 x 16GB,10,30,32,449.99
Kingston Server Premier 64 GB,DDR4-3200,1 x 64GB,13,22,0,1341.81
Corsair Vengeance RGB 192 GB,DDR5-5200,4 x 48GB,14,38,0,2559.99
Kingston FURY Beast 16 GB,DDR5-5600,2 x 8GB,12,36,2,259.99
Crucial Pro 32 GB,DDR4-3200,2 x 16GB,13,22,12,229.99
G.Skill Trident Z5 RGB 64 GB,DDR5-6400,2 x 32GB,10,32,30,939
Crucial Pro Overclocking 32 GB,DDR5-6400,2 x 16GB,10,32,0,369.99
Kingston FURY Beast 32 GB,DDR4-3200,2 x 16GB,10,16,17,324.77
G.Skill Ripjaws V 16 GB,DDR4-3600,2 x 8GB,8,16,199,169.99
Corsair Vengeance LPX 8 GB,DDR4-2400,1 x 8GB,13,16,47,84.98
Kingston FURY Beast 16 GB,DDR5-6000,2 x 8GB,12,36,3,262.99
Silicon Power SP016GLLTU160N22 16 GB,DDR3-1600,2 x 8GB,13,11,2,42.99
G.Skill Flare X5 32 GB,DDR5-6000,2 x 16GB,10,30,94,509.99
G.Skill Trident Z RGB 32 GB,DDR4-3600,2 x 16GB,10,18,31,319.99
Crucial CT16G4DFRA32A 16 GB,DDR4-3200,1 x 16GB,13,22,1,137
Corsair Dominator Titanium 64 GB,DDR5-6000,2 x 32GB,10,30,4,1228.99
V-Color TRA564G60D436O 512 GB,DDR5-6000,8 x 64GB,12,36,0,20639.99
TEAMGROUP T-Create Expert 32 GB,DDR5-6000,2 x 16GB,10,30,42,479.99
Corsair Vengeance RGB Pro 32 GB,DDR4-3200,2 x 16GB,10,16,8,292.99
G.Skill Trident Z5 Neo RGB 64 GB,DDR5-6000,2 x 32GB,8,26,0,1299.99
Crucial CT51264BD160B 4 GB,DDR3-1600,1 x 4GB,13,11,0,12.99
TEAMGROUP T-Force Delta RGB 16 GB,DDR4-3600,2 x 8GB,10,18,24,158.99
Kingston FURY Beast 64 GB,DDR5-6000,2 x 32GB,10,30,9,999
Corsair Vengeance RGB 32 GB,DDR5-6000,2 x 16GB,10,30,5,579.99
Crucial Classic 16 GB,DDR5-5600,2 x 8GB,16,46,2,259.58
Corsair Vengeance 16 GB,DDR5-6000,1 x 16GB,12,36,0,226.99
Kingston FURY Beast RGB 16 GB,DDR5-6000,1 x 16GB,10,30,1,349
Corsair Vengeance 32 GB,DDR5-6000,2 x 16GB,12,36,11,409.99
Lexar THOR 16 GB,DDR4-3200,2 x 8GB,10,16,3,
G.Skill Trident Z5 RGB 48 GB,DDR5-8400,2 x 24GB,9,40,1,599.99
G.Skill Trident Z5 RGB 32 GB,DDR5-6400,2 x 16GB,10,32,43,419.99
Patriot Viper Venom 32 GB,DDR5-6400,2 x 16GB,10,32,5,379.99
G.Skill Ripjaws V 32 GB,DDR4-3600,2 x 16GB,10,18,21,279.99
Corsair Dominator Titanium 32 GB,DDR5-6000,2 x 16GB,10,30,12,574.99
Klevv FIT V 32 GB,DDR5-6000,2 x 16GB,9,28,2,
Kingston FURY Beast RGB 32 GB,DDR5-6000,2 x 16GB,10,30,11,499.99
Silicon Power XPOWER Zenith RGB Gaming 16 GB,DDR5-6000,1 x 16GB,13,40,0,195.97
Kingston FURY Beast 32 GB,DDR5-5600,2 x 16GB,12,36,10,499.99
G.Skill Trident Z5 Royal Neo RGB 64 GB,DDR5-6000,2 x 32GB,10,30,4,1029.99
Kingston KCP426NS6/4 4 GB,DDR4-2666,1 x 4GB,14,19,0,37
Kingston HyperX Fury 16 GB,DDR4-3200,2 x 8GB,10,16,37,
Corsair Vengeance RGB 128 GB,DDR5-6400,2 x 64GB,13,42,0,1699.99
G.Skill Aegis 16 GB,DDR4-3200,2 x 8GB,10,16,34,170.48
G.Skill Flare X5 128 GB,DDR5-6000,2 x 64GB,10,32,0,2139.98
TEAMGROUP T-Force Vulcan 16 GB,DDR5-5200,2 x 8GB,15,40,1,239.99
Kingston Fury Renegade RGB 96 GB,DDR5-6000,2 x 48GB,10,32,0,1736.19
Patriot Viper Elite 5 32 GB,DDR5-6000,2 x 16GB,10,30,1,379.99
