System,Brand,Range,Type,Mount,Lens,FL (mm),Max FL (mm),Max. Aper.,Filter (mm),MFD (cm),Diam. (mm),Diam. (in.),Length (mm),Length (in.),Weight (g),Weight (oz),IS,WR,Elements,Blades,Price (new),Notes
Sony,Sony,APS-C,Zoom,E,Sony E 10-18mm F4 OSS,10,18,f/4,62,25,70,2.76,63.5,2.50,225,7.94,Yes,No,,,698,Released 2012
Sony,Sony,APS-C,Zoom,E,Sony E PZ 10-20mm F4 G,10,20,f/4,62,13,69.8,2.75,55,2.17,178,6.28,No,No,,,898,Released 2022; Power Zoom
Sony,Sony,APS-C,Zoom,E,Sony E PZ 16-50mm F3.5-5.6 OSS,16,50,f/3.5,40.5,25,64.7,2.55,29.9,1.18,116,4.09,Yes,No,,,349,Released 2013; Power Zoom; Retractable
Sony,Sony,APS-C,Zoom,E,Sony E PZ 16-50mm F3.5-5.6 OSS II,16,50,f/3.5,40.5,25,66,2.60,31.3,1.23,107,3.77,Yes,No,,,399,Released 2024; Power Zoom
Sony,Sony,APS-C,Zoom,E,Sony E 16-55mm F2.8 G,16,55,f/2.8,67,33,73,2.87,100,3.94,494,17.43,No,No,,,1398,Released 2019
Sony,Sony,APS-C,Zoom,E,Sony Zeiss Vario-Tessar T* E 16-70mm F4 ZA OSS,16,70,f/4,55,35,66.6,2.62,75,2.95,308,10.87,Yes,No,,,1098,Released 2013; Vario-Tessar T* coating
Sony,Sony,APS-C,Zoom,E,Sony E 18-50mm F4-5.6,18,50,f/4,55,40,68.5,2.70,59,2.32,116,4.09,No,No,,,,Released 2014; Discontinued 2016; A3500 kit only
Sony,Sony,APS-C,Zoom,E,Sony E 18-55mm F3.5-5.6 OSS,18,55,f/3.5,49,25,62,2.44,60,2.36,194,6.84,Yes,No,,,,Discontinued
Sony,Sony,APS-C,Zoom,E,Sony E PZ 18-105mm F4 G OSS,18,105,f/4,72,45,78,3.07,110,4.33,427,15.06,Yes,No,,,698,Released 2013; Power Zoom
Sony,Sony,APS-C,Zoom,E,Sony E PZ 18-110mm F4 G OSS,18,110,f/4,95,40,110,4.33,167.5,6.59,1105,38.98,Yes,No,,,1198,Released 2016; Power Zoom
Sony,Sony,APS-C,Zoom,E,Sony E 18-135mm F3.5-5.6 OSS,18,135,f/3.5,55,45,67.2,2.65,88,3.46,325,11.46,Yes,No,,,798,Released 2018
Sony,Sony,APS-C,Zoom,E,Sony E 18-200mm F3.5-6.3 OSS,18,200,f/3.5,67,30,75.5,2.97,99,3.90,524,18.49,Yes,No,,,898,Released 2010
Sony,Sony,APS-C,Zoom,E,Sony E 18-200mm F3.5-6.3 OSS LE,18,200,f/3.5,62,50,68,2.68,97.1,3.82,460,16.23,Yes,No,,,798,Released 2012; Light Edition
Sony,Sony,APS-C,Zoom,E,Sony E PZ 18-200mm F3.5-6.3 OSS,18,200,f/3.5,67,30,93.2,3.67,99,3.90,649,22.89,Yes,No,,,998,Released 2012; Power Zoom
Sony,Sony,APS-C,Zoom,E,Sony E 55-210mm F4.5-6.3 OSS,55,210,f/4.5,49,100,63.8,2.51,108,4.25,345,12.17,Yes,No,,,349,Released 2011
Sony,Sony,APS-C,Zoom,E,Sony E 70-350mm F4.5-6.3 G OSS,70,350,f/4.5,67,110,77,3.03,142,5.59,625,22.05,Yes,No,,,998,Released 2019
Sony,Sony,APS-C,Prime,E,Sony E 11mm F1.8,11,11,f/1.8,55,15,66,2.60,57.5,2.26,181,6.39,No,No,,,548,Released 2022
Sony,Sony,APS-C,Prime,E,Sony E 15mm F1.4 G,15,15,f/1.4,55,17,66.6,2.62,69.5,2.74,219,7.73,No,No,,,798,Released 2022
Sony,Sony,APS-C,Prime,E,Sony E 16mm F2.8,16,16,f/2.8,49,24,62,2.44,22.5,0.89,67,2.36,No,No,,,299,Released 2010
Sony,Sony,APS-C,Prime,E,Sony E 20mm F2.8,20,20,f/2.8,49,20,62.6,2.46,20.4,0.80,69,2.43,No,No,,,349,Released 2013
Sony,Sony,APS-C,Prime,E,Sony Zeiss Sonnar T* E 24mm F1.8 ZA,24,24,f/1.8,49,16,63,2.48,65.5,2.58,225,7.94,No,No,,,1198,Released 2011; Sonnar T* coating
Sony,Sony,APS-C,Prime,E,Sony E 30mm F3.5 Macro,30,30,f/3.5,49,9.5,62,2.44,55.5,2.18,138,4.87,No,No,,,298,Released 2011; Macro lens
Sony,Sony,APS-C,Prime,E,Sony E 35mm F1.8 OSS,35,35,f/1.8,49,30,63,2.48,45,1.77,154,5.43,Yes,No,,,448,Released 2012
Sony,Sony,APS-C,Prime,E,Sony E 50mm F1.8 OSS,50,50,f/1.8,49,39,62,2.44,62,2.44,202,7.13,Yes,No,,,349,Released 2011
Sony,Sony,Full-Frame,Zoom,E,Sony FE 12-24mm F2.8 GM,12,24,f/2.8,N/A,28,97.6,3.84,137,5.39,847,29.88,No,No,,,2898,Released 2020; No filter thread
Sony,Sony,Full-Frame,Zoom,E,Sony FE 12-24mm F4 G,12,24,f/4,N/A,28,87,3.43,117,4.61,565,19.93,No,No,,,1498,Released 2017
Sony,Sony,Full-Frame,Zoom,E,Sony FE 16-25mm F2.8 G,16,25,f/2.8,67,18,74.8,2.94,91.4,3.60,409,14.43,No,No,,,1198,Released 2024
Sony,Sony,Full-Frame,Zoom,E,Sony FE 16-35mm F2.8 GM,16,35,f/2.8,82,28,88.5,3.48,121.6,4.79,680,23.99,No,No,,,2198,Released 2017
Sony,Sony,Full-Frame,Zoom,E,Sony FE 16-35mm F2.8 GM II,16,35,f/2.8,82,22,87.8,3.46,111.5,4.39,547,19.29,No,No,,,2298,Released 2023
Sony,Sony,Full-Frame,Zoom,E,Sony FE PZ 16-35mm F4 G,16,35,f/4,72,24,80.5,3.17,88.1,3.47,353,12.45,No,No,,,1398,Released 2022; Power Zoom
Sony,Sony,Full-Frame,Zoom,E,Sony Zeiss Vario-Tessar T* FE 16-35mm F4 ZA OSS,16,35,f/4,72,28,78,3.07,98.5,3.88,518,18.27,Yes,No,,,1348,Released 2014; Vario-Tessar T* coating
Sony,Sony,Full-Frame,Zoom,E,Sony FE C 16-35mm T3.1 G,16,35,T3.1,N/A,28,118.4,4.66,190,7.48,1390,49.03,No,No,,,5499,Released 2019; Cine lens
Sony,Sony,Full-Frame,Zoom,E,Sony FE 20-70mm F4 G,20,70,f/4,72,25,78.7,3.10,99,3.90,488,17.21,No,No,,,1098,Released 2023
Sony,Sony,Full-Frame,Zoom,E,Sony FE 24-50mm F2.8 G,24,50,f/2.8,67,18,74.8,2.94,92.3,3.63,440,15.52,No,No,,,1098,Released 2024
Sony,Sony,Full-Frame,Zoom,E,Sony Zeiss Vario-Tessar T* FE 24-70mm F4 ZA OSS,24,70,f/4,67,40,73,2.87,94.5,3.72,426,15.03,Yes,No,,,1198,Released 2014; Vario-Tessar T* coating
Sony,Sony,Full-Frame,Zoom,E,Sony FE 24-70mm F2.8 GM,24,70,f/2.8,82,38,87.6,3.45,136,5.35,886,31.25,No,No,,,2198,Released 2016
Sony,Sony,Full-Frame,Zoom,E,Sony FE 24-70mm F2.8 GM II,24,70,f/2.8,82,21,87.8,3.46,120,4.72,695,24.51,No,No,,,2298,Released 2022
Sony,Sony,Full-Frame,Zoom,E,Sony FE 24-105mm F4 G OSS,24,105,f/4,77,38,83.4,3.28,113.3,4.46,663,23.39,Yes,No,,,1398,Released 2017
Sony,Sony,Full-Frame,Zoom,E,Sony FE 24-240mm F3.5-6.3 OSS,24,240,f/3.5,72,50,80.5,3.17,119,4.69,780,27.51,Yes,No,,,998,Released 2015
Sony,Sony,Full-Frame,Zoom,E,Sony FE 28-60mm F4-5.6,28,60,f/4,40.5,30,66.6,2.62,45,1.77,167,5.89,No,No,,,498,Released 2020
Sony,Sony,Full-Frame,Zoom,E,Sony FE 28-70mm F2 GM,28,70,f/2,86,38,92.9,3.66,139.8,5.50,918,32.38,No,No,,,2998,Released 2024
Sony,Sony,Full-Frame,Zoom,E,Sony FE 28-70mm F3.5-5.6 OSS II,28,70,f/3.5,55,30,72.5,2.85,83,3.27,293,10.34,Yes,No,,,599,Released 2025
Sony,Sony,Full-Frame,Zoom,E,Sony FE 28-70mm F3.5-5.6 OSS,28,70,f/3.5,55,30,72.5,2.85,83,3.27,295,10.41,Yes,No,,,398,Released 2013
Sony,Sony,Full-Frame,Zoom,E,Sony FE PZ 28-135mm F4 G OSS,28,135,f/4,95,40,105,4.13,162.5,6.40,1215,42.86,Yes,No,,,2499,Released 2014; Power Zoom
Sony,Sony,Full-Frame,Zoom,E,Sony FE 50-150mm F2 GM,50,150,f/2,95,40,102.8,4.05,200,7.87,1340,47.27,No,No,,,2999,Released 2025
Sony,Sony,Full-Frame,Zoom,E,Sony FE 70-200mm F4 G OSS,70,200,f/4,72,100,80,3.15,175,6.89,840,29.63,Yes,No,,,1498,Released 2014; Internal zoom
Sony,Sony,Full-Frame,Zoom,E,Sony FE 70-200mm F4 Macro G OSS II,70,200,f/4,72,26,82.2,3.24,149,5.87,794,28.01,Yes,No,,,1698,Released 2023; Macro lens
Sony,Sony,Full-Frame,Zoom,E,Sony FE 70-200mm F2.8 GM OSS,70,200,f/2.8,77,96,88,3.46,205.3,8.08,1480,52.21,Yes,No,,,2598,Released 2016
Sony,Sony,Full-Frame,Zoom,E,Sony FE 70-200mm F2.8 GM OSS II,70,200,f/2.8,77,40,88,3.46,200,7.87,1045,36.86,Yes,No,,,2798,Released 2021
Sony,Sony,Full-Frame,Zoom,E,Sony FE 70-300mm F4.5-5.6 G OSS,70,300,f/4.5,72,90,84,3.31,143.5,5.65,854,30.12,Yes,No,,,1198,Released 2016
Sony,Sony,Full-Frame,Zoom,E,Sony FE 100-400mm F4.5-5.6 GM OSS,100,400,f/4.5,77,98,93.9,3.70,205,8.07,1398,49.31,Yes,No,,,2498,Released 2017
Sony,Sony,Full-Frame,Zoom,E,Sony FE 200-600mm F5.6-6.3 G OSS,200,600,f/5.6,95,240,111.5,4.39,318,12.52,2115,74.61,Yes,No,,,1998,Released 2019
Sony,Sony,Full-Frame,Zoom,E,Sony FE 400-800mm F6.3-8 G OSS,400,800,f/6.3,105,170,119.8,4.72,346,13.62,2475,87.30,Yes,No,,,2499,Released 2025
Sony,Sony,Full-Frame,Prime,E,Sony FE 14mm F1.8 GM,14,14,f/1.8,N/A,25,83,3.27,99.8,3.93,460,16.23,No,No,,,1598,Released 2021
Sony,Sony,Full-Frame,Prime,E,Sony FE 16mm F1.8 G,16,16,f/1.8,67,15,73.8,2.91,75,2.95,304,10.72,No,No,,,899,Released 2025
Sony,Sony,Full-Frame,Prime,E,Sony FE 20mm F1.8 G,20,20,f/1.8,67,18,73.5,2.89,84.7,3.33,373,13.16,No,No,,,899,Released 2020
Sony,Sony,Full-Frame,Prime,E,Sony FE 24mm F1.4 GM,24,24,f/1.4,67,24,75.4,2.97,92.4,3.64,445,15.70,No,No,,,1398,Released 2018
Sony,Sony,Full-Frame,Prime,E,Sony FE 24mm F2.8 G,24,24,f/2.8,49,18,68,2.68,45,1.77,162,5.71,No,No,,,598,Released 2021
Sony,Sony,Full-Frame,Prime,E,Sony FE 28mm F2,28,28,f/2,49,25,60,2.36,64,2.52,200,7.05,No,No,,,448,Released 2015
Sony,Sony,Full-Frame,Prime,E,Sony FE 35mm F1.4 GM,35,35,f/1.4,67,25,76,2.99,96,3.78,524,18.48,No,No,,,1398,Released 2021
Sony,Sony,Full-Frame,Prime,E,Sony Zeiss Distagon T* FE 35mm F1.4 ZA,35,35,f/1.4,72,30,78.5,3.09,112,4.41,630,22.22,No,No,,,1598,Released 2015; Distagon T* coating
Sony,Sony,Full-Frame,Prime,E,Sony Zeiss Sonnar T* FE 35mm F2.8 ZA,35,35,f/2.8,49,35,61.5,2.42,36.5,1.44,120,4.23,No,No,,,798,Released 2013; Sonnar T* coating
Sony,Sony,Full-Frame,Prime,E,Sony FE 35mm F1.8,35,35,f/1.8,55,22,65.6,2.58,73,2.87,280,9.88,No,No,,,749,Released 2019
Sony,Sony,Full-Frame,Prime,E,Sony FE 40mm F2.5 G,40,40,f/2.5,49,25,68,2.68,45,1.77,173,6.10,No,No,,,598,Released 2021
Sony,Sony,Full-Frame,Prime,E,Sony FE 50mm F1.2 GM,50,50,f/1.2,72,40,87,3.43,109.2,4.30,778,27.44,No,No,,,1998,Released 2021
Sony,Sony,Full-Frame,Prime,E,Sony FE 50mm F1.4 GM,50,50,f/1.4,67,41,80.6,3.17,96,3.78,516,18.20,No,No,,,1298,Released 2023
Sony,Sony,Full-Frame,Prime,E,Sony Zeiss Planar T* FE 50mm F1.4 ZA,50,50,f/1.4,72,45,83.5,3.29,108,4.25,778,27.44,No,No,,,1498,Released 2016; Planar T* coating
Sony,Sony,Full-Frame,Prime,E,Sony FE 50mm F1.8,50,50,f/1.8,49,45,68.6,2.70,59.5,2.34,186,6.56,No,No,,,248,Released 2016
Sony,Sony,Full-Frame,Prime,E,Sony FE 50mm F2.5 G,50,50,f/2.5,49,31,68,2.68,45,1.77,174,6.14,No,No,,,598,Released 2021
