"Lens Name","Brand","Mount","Launch Year","Launch Price (USD)","Source URL"
"Sony FE 24mm f/1.4 GM","Sony","E","2019","1400","https://www.sony.com/electronics/camera-lenses/g-master"
"Sony FE 35mm f/1.4 GM","Sony","E","2021","1400","https://www.sony.com/electronics/camera-lenses/g-master"
"Sony FE 50mm f/1.2 GM","Sony","E","2021","2000","https://www.sony.com/electronics/camera-lenses/g-master"
"Sony FE 50mm f/1.4 GM","Sony","E","2024","1300","https://www.sony.com/electronics/camera-lenses/g-master"
"Sony FE 85mm f/1.4 GM","Sony","E","2017","1800","https://www.sony.com/electronics/camera-lenses/g-master"
"Sony FE 135mm f/1.8 GM","Sony","E","2020","1900","https://www.sony.com/electronics/camera-lenses/g-master"
"Sony FE 300mm f/2.8 GM","Sony","E","2024","6000","https://www.sony.com/electronics/camera-lenses/g-master"
"Sony FE 400mm f/2.8 GM","Sony","E","2019","12000","https://www.sony.com/electronics/camera-lenses/g-master"
"Sony FE 600mm f/4 GM","Sony","E","2020","13000","https://www.sony.com/electronics/camera-lenses/g-master"
"Sony FE 100mm f/2.8 STF GM","Sony","E","2018","1500","https://www.sony.com/electronics/camera-lenses/g-master"
"Sony FE 12-24mm f/2.8 GM","Sony","E","2021","3000","https://www.sony.com/electronics/camera-lenses/g-master"
"Sony FE 16-35mm f/2.8 GM","Sony","E","2017","2200","https://www.sony.com/electronics/camera-lenses/g-master"
"Sony FE 16-35mm f/2.8 GM II","Sony","E","2024","2300","https://www.sony.com/electronics/camera-lenses/g-master"
"Sony FE 24-70mm f/2.8 GM","Sony","E","2017","2200","https://www.sony.com/electronics/camera-lenses/g-master"
"Sony FE 24-70mm f/2.8 GM II","Sony","E","2023","2300","https://www.sony.com/electronics/camera-lenses/g-master"
"Sony FE 70-200mm f/2.8 GM","Sony","E","2017","2600","https://www.sony.com/electronics/camera-lenses/g-master"
"Sony FE 70-200mm f/2.8 GM II","Sony","E","2023","2800","https://www.sony.com/electronics/camera-lenses/g-master"
"Sony FE 100-400mm f/4.5-5.6 GM","Sony","E","2018","2500","https://www.sony.com/electronics/camera-lenses/g-master"
"Sony FE 20mm f/1.8 G","Sony","E","2020","900","https://www.sony.com/electronics/camera-lenses"
"Sony FE 24mm f/2.8 G","Sony","E","2021","600","https://www.sony.com/electronics/camera-lenses"
"Sony FE 40mm f/2.5 G","Sony","E","2021","600","https://www.sony.com/electronics/camera-lenses"
"Sony FE 50mm f/2.5 G","Sony","E","2021","600","https://www.sony.com/electronics/camera-lenses"
"Sony FE 90mm f/2.8 Macro G","Sony","E","2016","1100","https://www.sony.com/electronics/camera-lenses"
"Sony FE 12-24mm f/4 G","Sony","E","2018","1750","https://www.sony.com/electronics/camera-lenses"
"Sony FE 20-70mm f/4 G","Sony","E","2023","1100","https://www.sony.com/electronics/camera-lenses"
"Sony FE 16-35mm f/4 G","Sony","E","2023","1400","https://www.sony.com/electronics/camera-lenses"
"Sony FE 16-25mm f/2.8 G","Sony","E","2025","1200","https://www.sony.com/electronics/camera-lenses"
"Sony FE 24-50mm f/2.8 G","Sony","E","2025","1100","https://www.sony.com/electronics/camera-lenses"
"Sony FE 28mm f/2","Sony","E","2016","450","https://www.sony.com/electronics/camera-lenses"
"Sony FE 35mm f/1.8","Sony","E","2020","750","https://www.sony.com/electronics/camera-lenses"
"Sony FE 35mm f/1.4 ZA","Sony","E","2016","1600","https://www.sony.com/electronics/camera-lenses"
"Sony FE 35mm f/2.8 ZA","Sony","E","2014","800","https://www.sony.com/electronics/camera-lenses"
"Sony FE 50mm f/1.4 ZA","Sony","E","2017","1500","https://www.sony.com/electronics/camera-lenses"
"Sony FE 50mm f/1.8","Sony","E","2017","250","https://www.sony.com/electronics/camera-lenses"
"Sony FE 50mm f/2.8 Macro","Sony","E","2017","350","https://www.sony.com/electronics/camera-lenses"
"Sony FE 55mm f/1.8 ZA","Sony","E","2014","1000","https://www.sony.com/electronics/camera-lenses"
"Sony FE 85mm f/1.8","Sony","E","2018","600","https://www.sony.com/electronics/camera-lenses"
"Sony FE 24-70mm f/4 ZA","Sony","E","2015","1200","https://www.sony.com/electronics/camera-lenses"
"Sony FE 24-105mm f/4 G","Sony","E","2018","1300","https://www.sony.com/electronics/camera-lenses"
"Sony FE 24-240mm f/3.5-6.3","Sony","E","2016","1000","https://www.sony.com/electronics/camera-lenses"
"Sony FE 28-60mm f/4-5.6","Sony","E","2021","500","https://www.sony.com/electronics/camera-lenses"
"Sony FE 28-70mm f/3.5-5.6","Sony","E","2014","500","https://www.sony.com/electronics/camera-lenses"
"Sony FE 70-200mm f/4 G","Sony","E","2015","1500","https://www.sony.com/electronics/camera-lenses"
"Sony FE 70-200mm f/4 G II","Sony","E","2024","1700","https://www.sony.com/electronics/camera-lenses"
"Sony FE 70-300mm f/4.5-5.6 G","Sony","E","2017","1200","https://www.sony.com/electronics/camera-lenses"
"Sony FE 16-35mm f/4 ZA","Sony","E","2015","1400","https://www.sony.com/electronics/camera-lenses"
"Sony FE 200-600mm f/5.6-6.3 G","Sony","E","2020","2000","https://www.sony.com/electronics/camera-lenses"
"Sony FE 400-800mm f/6.3-8 G","Sony","E","2025","2500","https://www.sony.com/electronics/camera-lenses"
"Sony E 11mm f/1.8","Sony","E","2023","550","https://www.sony.com/electronics/camera-lenses"
"Sony E 15mm f/1.4 G","Sony","E","2023","750","https://www.sony.com/electronics/camera-lenses"
"Sony E 16mm f/2.8","Sony","E","2010","250","https://www.sony.com/electronics/camera-lenses"
"Sony E 20mm f/2.8","Sony","E","2014","350","https://www.sony.com/electronics/camera-lenses"
"Sony E 24mm f/1.8 ZA","Sony","E","2011","700","https://www.sony.com/electronics/camera-lenses"
"Sony E 30mm f/3.5 Macro","Sony","E","2011","300","https://www.sony.com/electronics/camera-lenses"
"Sony E 35mm f/1.8 OSS","Sony","E","2012","450","https://www.sony.com/electronics/camera-lenses"
"Sony E 50mm f/1.8 OSS","Sony","E","2011","300","https://www.sony.com/electronics/camera-lenses"
"Sony E 10-20mm f/4 G","Sony","E","2022","750","https://www.sony.com/electronics/camera-lenses"
"Sony E PZ 10-20mm f/4 G","Sony","E","2022","750","https://www.sony.com/electronics/camera-lenses"
"Sony E 16-50mm f/3.5-5.6 OSS","Sony","E","2014","300","https://www.sony.com/electronics/camera-lenses"
"Sony E 16-50mm f/3.5-5.6 OSS II","Sony","E","2025","300","https://www.sony.com/electronics/camera-lenses"
"Sony E 16-55mm f/2.8 G","Sony","E","2020","1400","https://www.sony.com/electronics/camera-lenses"
"Sony E 16-70mm f/4 ZA","Sony","E","2014","1000","https://www.sony.com/electronics/camera-lenses"
"Sony E 18-105mm f/4 G OSS","Sony","E","2014","600","https://www.sony.com/electronics/camera-lenses"
"Sony E 18-135mm f/3.5-5.6 OSS","Sony","E","2019","600","https://www.sony.com/electronics/camera-lenses"
"Sony E 18-200mm f/3.5-6.3 OSS","Sony","E","2010","900","https://www.sony.com/electronics/camera-lenses"
"Sony E PZ 18-200mm f/3.5-6.3 OSS","Sony","E","2012","900","https://www.sony.com/electronics/camera-lenses"
"Sony E 55-210mm f/4.5-6.3 OSS","Sony","E","2011","350","https://www.sony.com/electronics/camera-lenses"
