System,Brand,Range,,Type,Mount,Lens,,FL (mm),Max FL (mm),Max. Aper.,Filter (mm),MFD (cm),Diam. (mm),Diam. (in.),Length (mm),Length (in.),Weight (g),Weight (oz),IS,WR,Elements,Blades,Current Price,,Notes,Launch Year,Launch Price (USD),Source URL
Sony,Samyang & Schneider Kreuznach,Zoom,01/04/2025,,E,AF 14-24mm F2.8 FE,01/04/2025,14,14,2.8,77,,84,,88.8,,445,,No,,,,,01/04/2025,,2025,1300,https://www.samyanglens.com
Sony,Samyang,Zoom,01/10/2021,,E,AF 24-70mm F2.8 FE,01/10/2021,24,24,2.8,82,,88.0,,128.5,,1027,,No,,,,,01/10/2021,,2021,900,https://www.samyanglens.com
Sony,Samyang,Zoom,01/04/2023,,E,AF 35-150mm F2-2.8 FE,01/04/2023,35,35,2,82,,92.8,,157.4,,1224,,No,,,,,01/04/2023,,2023,1400,https://www.samyanglens.com
Sony,Sigma,Zoom,01/07/2019,,E,14-24mm F2.8 DG DN | Art,01/07/2019,14,14,2.8,—N/a,,85.0,,133.0,,795,,No,,,,,01/07/2019,,2019,1400,https://www.sigma-global.com
Sony,Sigma,Zoom,01/06/2022,,E,16-28mm F2.8 DG DN | Contemporary,01/06/2022,16,16,2.8,72,,77.2,,102.6,,450,,No,,,,,01/06/2022,,2022,900,https://www.sigma-global.com
Sony,Sigma,Zoom,01/09/2025,,E,20-200mm F3.5-6.3 DG | Contemporary,01/09/2025,20,20,3.5,72,,77.2,,117.5,,540,,No,,,,,01/09/2025,,2025,700,https://www.sigma-global.com
Sony,Sigma,Zoom,01/11/2019,,E,24-70mm F2.8 DG DN | Art,01/11/2019,24,24,2.8,82,,87.8,,124.9,,830,,No,,,,,01/11/2019,,2022,2300,https://www.sony.com/electronics/camera-lenses
Sony,Sigma,Zoom,01/05/2024,,E,24-70mm F2.8 DG DN II | Art,01/05/2024,24,24,2.8,82,,87.8,,122.2,,735,,No,,,,,01/05/2024,,2022,2300,https://www.sony.com/electronics/camera-lenses
Sony,Sigma,Zoom,01/06/2024,,E,28-45mm F1.8 DG DN | Art,01/06/2024,28,28,1.8,82,,87.8,,153.4,,950,,No,,,,,01/06/2024,,2024,1350,https://www.sigma-global.com
Sony,Sigma,Zoom,01/02/2021,,E,28-70mm F2.8 DG DN | Contemporary,01/02/2021,28,28,2.8,67,,72.2,,103.5,,470,,No,,,,,01/02/2021,,2021,900,https://www.sigma-global.com
Sony,Sigma,Zoom,01/09/2024,,E,28-105mm F2.8 DG DN | Art,01/09/2024,28,28,2.8,82,,87.8,,159.9,,990,,No,,,,,01/09/2024,,2024,1500,https://www.sigma-global.com
Sony,Sigma,Zoom,01/11/2023,,E,70-200mm F2.8 DG DN OS | Sports,01/11/2023,70,70,2.8,77,,90.6,,207.0,,1335,,Yes,,,,,01/11/2023,,2022,2800,https://www.sony.com/electronics/camera-lenses
Sony,Sigma,Zoom,01/06/2020,,E,100-400mm F5-6.3 DG DN OS | Contemporary,01/06/2020,100,100,5,67,,86.0,,199.2,,1140,,Yes,,,,,01/06/2020,,2020,1000,https://www.sigma-global.com
Sony,Sigma,Zoom,01/01/2023,,E,60-600mm F4.5-6.3 DG DN OS | Sports,01/01/2023,60,60,4.5,105,,119.4,,281.2,,2485,,Yes,,,,,01/01/2023,,2023,2000,https://www.sigma-global.com
